..Oriya,85,76,(D),(D)
..Assamese,80,75,(D),(D)
..Kashmiri,40,40,(D),(D)
..Nepali,"5,415","1,033","2,375",558
..Sindhi,125,91,(D),(D)
..Pakistan n.e.c.3,185,162,70,80
..Sinhalese,500,198,75,56
..Romany,(D),(D),(D),(D)
.Other Indo-European languages,"19,343","1,463","6,977",847
..Jamaican Creole,875,292,190,129
..Krio,95,75,30,24
..Pidgin,40,64,(D),(D)
..Catalonian,105,88,(D),(D)
..Romanian,"2,675",558,"1,035",348
..Welsh,95,64,20,20
..Irish Gaelic,"2,445",458,225,94
..Scottic Gaelic,145,112,(B),--
..Albanian,"9,580","1,184","4,685",779
..Lithuanian,"2,345",357,505,177
..Latvian,505,159,115,58
..Pashto,325,232,105,78
..Kurdish,115,92,45,43
ASIAN AND PACIFIC ISLAND LANGUAGES,"237,872","3,013","116,583","2,387"
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)","106,715","2,891","56,534","2,110"
..Chinese,"70,395","2,552","38,015","2,065"
..Hakka,(D),(D),(B),--
..Cantonese,"18,920","1,542","11,020","1,161"
..Mandarin,"15,365","1,404","6,625",938
..Fuchow,215,280,210,280
..Formosan,"1,730",406,665,264
..Wu,60,45,(B),--
.Japanese,"8,408",872,"3,321",514
.Korean,"16,962","1,505","7,840",935
".Mon-Khmer, Cambodian","21,869","1,594","11,369",944
.Hmong,563,282,305,177
.Thai,"2,753",550,"1,547",412
.Laotian,"3,113",699,"1,468",348
.Vietnamese,"40,302","2,386","24,741","1,712"
.Other Asian languages,"26,951","1,606","6,425",948
..Kazakh,30,29,(D),(D)
..Uighur,55,70,(D),(D)
..Azerbaijani,160,170,(D),(D)
..Turkish,"4,425",642,"1,270",356
..Mongolian,205,221,(D),(D)
..Dravidian,(D),(D),(B),--
..Gondi,30,52,(D),(D)
..Telugu,"7,625",921,"1,850",476
..Kannada,"2,315",520,325,185
..Malayalam,"2,505",587,585,273
..Tamil,"7,630","1,013","1,075",332
..Munda,130,117,(D),(D)
..Tibetan,760,281,225,134
..Burmese,"1,010",324,785,320
..Karen,50,78,50,78
.Tagalog,"8,214",925,"2,481",492
.Other Pacific Island languages,"2,022",456,552,178
..Indonesian,"1,045",372,270,153
..Balinese,(D),(D),(B),--
..Malay,350,135,65,63
..Bisayan,215,162,110,102
..Sebuano,30,28,(B),--
..Pampangan,(D),(D),(D),(D)
..Chamorro,100,110,30,33
..Marshallese,(D),(D),(B),--
..Nauruan,(D),(D),(D),(D)
..Palau,(D),(D),(B),--
..Yapese,(D),(D),(D),(D)
..Tongan,55,58,(B),--
..Hawaiian,110,116,(D),(D)
ALL OTHER LANGUAGES,"73,770","3,611","23,761","1,695"
.Navajo,52,58,(B),--
.Other Native North American languages,612,226,114,61
..Algonquian,90,73,(D),(D)
..French Cree,(D),(D),(B),--
..Micmac,20,20,(B),--
..Ojibwa,125,159,(D),(D)
..Abnaki,(D),(D),(B),--
..Kuchin,105,93,(D),(D)
..Chasta Costa,(D),(D),(B),--
..Kiowa,(D),(D),(B),--
..Dakota,(D),(D),(B),--
..Choctaw,65,99,(B),--
..Keres,40,40,(D),(D)
..Mohawk,(D),(D),(B),--
..Comanche,(D),(D),(B),--
..Tiwa,30,38,(D),(D)
..American Indian,(D),(D),(D),(D)
.Hungarian,"1,518",340,324,135
.Arabic,"29,436","2,143","11,942","1,183"
.Hebrew,"7,348",799,805,201
.African languages,"32,981","2,248","10,032","1,028"
..Amharic,"4,900",777,"1,920",442
..Berber,120,143,25,39
..Chadic,335,179,(D),(D)
..Cushite,"2,860",723,"1,325",413
..Sudanic,215,196,100,90
..Nilotic,(D),(D),(B),--
..Nilo-Hamitic,(D),(D),(D),(D)
..Swahili,"7,000",918,"1,965",445
..Bantu,"4,015",848,750,259
..Mande,455,169,125,75
..Fulani,400,239,160,96
"..Kru, Ibo, Yoruba","12,215","1,264","3,455",611
..Efik,(D),(D),(B),--
..African,355,182,165,116
.Other and unspecified languages,"1,823",382,544,219
..Finnish,860,210,165,77
..Estonian,195,87,45,45
..Other Uralic languages,(D),(D),(B),--
..Caucasian,250,260,135,166
..Basque,45,53,45,53
..Syriac,105,79,50,42
..Quechua,(D),(D),(D),(D)
..Arawakian,25,26,(B),--
..Chibchan,80,95,80,95
..Uncodable,230,93,(B),--
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US25). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
--  Either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
,,,,
