Table with column headers in row 5 and row headers in column A,,,,
Table 9. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for District of Columbia:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
..Lithuanian,45.00,43.00,(D),(D)
..Latvian,100.00,83.00,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,10990.00,684.00,3969.00,487.00
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",4306.00,571.00,1644.00,378.00
..Chinese,2665.00,448.00,1065.00,242.00
..Cantonese,555.00,200.00,250.00,108.00
..Mandarin,1030.00,335.00,310.00,246.00
..Formosan,55.00,40.00,20.00,27.00
.Japanese,820.00,219.00,200.00,116.00
.Korean,1290.00,322.00,288.00,127.00
".Mon-Khmer, Cambodian",53.00,50.00,18.00,27.00
.Hmong,54.00,77.00,45.00,78.00
.Thai,386.00,199.00,253.00,162.00
.Laotian,53.00,47.00,10.00,15.00
.Vietnamese,1166.00,373.00,671.00,305.00
.Other Asian languages,964.00,282.00,199.00,131.00
..Uighur,(D),(D),(D),(D)
..Azerbaijani,(D),(D),(D),(D)
..Turkish,380.00,156.00,80.00,84.00
..Telugu,45.00,42.00,(B),--
..Kannada,35.00,37.00,(D),(D)
..Malayalam,95.00,67.00,(D),(D)
..Tamil,185.00,124.00,15.00,16.00
..Tibetan,(D),(D),(B),--
..Burmese,135.00,111.00,(D),(D)
.Tagalog,1436.00,398.00,519.00,205.00
.Other Pacific Island languages,462.00,209.00,122.00,135.00
..Indonesian,130.00,101.00,(D),(D)
..Balinese,35.00,58.00,(B),--
..Malagasy,(D),(D),(B),--
..Malay,80.00,56.00,(D),(D)
..Bisayan,(D),(D),(B),--
..Sebuano,45.00,42.00,(B),--
..Pampangan,(D),(D),(D),(D)
..Chamorro,(D),(D),(B),--
..Palau,(D),(D),(B),--
ALL OTHER LANGUAGES,11581.00,984.00,3658.00,655.00
.Other Native North American languages,108.00,77.00,(B),--
..Cheyenne,(D),(D),(B),--
..Fox,(D),(D),(B),--
..Seneca,(D),(D),(B),--
..Towa,(D),(D),(B),--
..American Indian,40.00,43.00,(B),--
.Hungarian,275.00,116.00,33.00,35.00
.Arabic,1599.00,315.00,217.00,98.00
.Hebrew,597.00,223.00,69.00,54.00
.African languages,8536.00,929.00,3225.00,607.00
..Amharic,5260.00,810.00,2475.00,608.00
..Chadic,(D),(D),(B),--
..Cushite,325.00,205.00,110.00,63.00
..Sudanic,25.00,42.00,20.00,28.00
..Nilotic,(D),(D),(D),(D)
..Swahili,135.00,76.00,50.00,43.00
..Bantu,355.00,156.00,90.00,75.00
..Mande,140.00,110.00,60.00,56.00
..Fulani,120.00,85.00,45.00,57.00
"..Kru, Ibo, Yoruba",2080.00,432.00,360.00,144.00
..Efik,50.00,54.00,(B),--
..Mbum (and related),(D),(D),(B),--
..African,20.00,24.00,(D),(D)
.Other and unspecified languages,466.00,158.00,114.00,84.00
..Finnish,180.00,94.00,30.00,40.00
..Estonian,40.00,50.00,(B),--
..Caucasian,55.00,37.00,(D),(D)
..Syriac,(D),(D),(B),--
..Arawakian,(D),(D),(B),--
..Tupi-Guarani,(D),(D),(D),(D)
..Uncodable,155.00,88.00,(D),(D)
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US11). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
