".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",61951.00,"2,200",28687.00,"1,711"
..Chinese,46830.00,"2,016",22605.00,"1,529"
..Hakka,(D),(D),(B),--
..Cantonese,3820.00,561,1735.00,349
..Mandarin,9210.00,"1,083",3385.00,566
..Formosan,2020.00,419,955.00,257
..Wu,45.00,44,(D),(D)
.Japanese,6249.00,711,2318.00,422
.Korean,38029.00,"2,211",21151.00,"1,625"
".Mon-Khmer, Cambodian",1974.00,635,813.00,210
.Hmong,7.00,15,(B),--
.Thai,3710.00,563,1675.00,342
.Laotian,914.00,342,469.00,213
.Vietnamese,21268.00,"1,772",12413.00,"1,336"
.Other Asian languages,25518.00,"1,779",6310.00,880
..Kazakh,(D),(D),(D),(D)
..Kirghiz,55.00,54,30.00,34
..Uighur,205.00,153,165.00,138
..Azerbaijani,270.00,265,150.00,168
..Turkish,3555.00,680,1200.00,402
..Mongolian,170.00,118,(D),(D)
..Dravidian,40.00,36,(D),(D)
..Gondi,75.00,79,(D),(D)
..Telugu,6845.00,"1,075",1000.00,282
..Kannada,1245.00,316,205.00,132
..Malayalam,4190.00,675,975.00,228
..Tamil,6135.00,707,995.00,256
..Munda,15.00,16,(B),--
..Tibetan,280.00,177,180.00,129
..Burmese,2330.00,693,1320.00,493
..Mien,(D),(D),(B),--
..Paleo-siberian,45.00,78,(D),(D)
.Tagalog,32818.00,"1,977",10304.00,965
.Other Pacific Island languages,4376.00,806,1234.00,354
..Indonesian,1590.00,423,585.00,217
..Balinese,275.00,334,(B),--
..Malagasy,120.00,119,(D),(D)
..Malay,315.00,176,80.00,80
..Bisayan,395.00,168,50.00,33
..Sebuano,400.00,183,140.00,111
..Ilocano,590.00,327,210.00,166
..Bikol,(D),(D),(D),(D)
..Pampangan,280.00,210,90.00,87
..Micronesian,(D),(D),(D),(D)
..Chamorro,35.00,28,(B),--
..Palau,100.00,94,4.00,25
..Trukese,(D),(D),(B),--
..Melanesian,(D),(D),(B),--
..Samoan,65.00,50,(B),--
..Tongan,80.00,100,(B),--
..Hawaiian,60.00,65,(D),(D)
ALL OTHER LANGUAGES,96836.00,"3,596",23077.00,"1,461"
.Navajo,97.00,82,(B),--
.Other Native North American languages,1236.00,485,265.00,165
..Inupik,(D),(D),(B),--
..Cree,(D),(D),(B),--
..Ojibwa,70.00,80,(D),(D)
..Makah,35.00,51,35.00,51
..Kuchin,(D),(D),(D),(D)
..Apache,(D),(D),(B),--
..Santiam,(D),(D),(B),--
..Karok,(D),(D),(D),(D)
..Walapai,(D),(D),(B),--
..Dakota,65.00,52,(D),(D)
..Choctaw,520.00,437,(D),(D)
..Muskogee,80.00,107,80.00,107
..Keres,70.00,109,(B),--
..Mohawk,(D),(D),(B),--
..Cherokee,55.00,51,(B),--
..Zuni,35.00,45,(D),(D)
..American Indian,135.00,101,(D),(D)
.Hungarian,2057.00,411,518.00,201
.Arabic,14847.00,"1,545",3431.00,606
.Hebrew,6092.00,704,699.00,198
.African languages,71519.00,"2,891",17882.00,"1,229"
..Amharic,19855.00,"1,390",7435.00,846
..Berber,260.00,322,145.00,172
..Chadic,460.00,224,165.00,134
..Cushite,1375.00,540,495.00,216
..Sudanic,(D),(D),(D),(D)
..Nilotic,145.00,80,(D),(D)
..Khoisan,55.00,89,20.00,32
..Swahili,6170.00,904,1395.00,355
..Bantu,3925.00,711,820.00,290
..Mande,1430.00,345,455.00,216
..Fulani,3425.00,709,1155.00,345
..Gur,110.00,98,(D),(D)
"..Kru, Ibo, Yoruba",33510.00,"2,059",5605.00,801
..Efik,430.00,205,70.00,51
..Mbum (and related),80.00,93,(D),(D)
..African,230.00,138,40.00,36
.Other and unspecified languages,988.00,292,282.00,121
..Finnish,260.00,142,(D),(D)
..Estonian,225.00,93,45.00,45
..Caucasian,310.00,215,130.00,102
..Syriac,(D),(D),(D),(D)
..Mayan languages,30.00,27,(D),(D)
..Quechua,45.00,48,45.00,48
..Tupi-Guarani,(D),(D),(D),(D)
..Uncodable,80.00,48,(B),--
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US24). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
