..Pangasinan,60.00,55.00,(D),(D)
..Ilocano,1905.00,514.00,795.00,298.00
..Bikol,(D),(D),(D),(D)
..Pampangan,255.00,202.00,120.00,146.00
..Micronesian,110.00,115.00,(B),--
..Chamorro,1065.00,309.00,130.00,89.00
..Kusaiean,(D),(D),(D),(D)
..Marshallese,(D),(D),(B),--
..Mokilese,(D),(D),(B),--
..Palau,35.00,60.00,35.00,60.00
..Ponapean,145.00,173.00,50.00,55.00
..Trukese,15.00,22.00,(D),(D)
..Samoan,2985.00,959.00,1315.00,802.00
..Tongan,620.00,271.00,(D),(D)
..Fijian,280.00,193.00,40.00,52.00
..Marquesan,(D),(D),(B),--
..Maori,(D),(D),(D),(D)
..Hawaiian,565.00,254.00,80.00,94.00
ALL OTHER LANGUAGES,23708.00,1982.00,8467.00,968.00
.Navajo,1022.00,425.00,208.00,96.00
.Other Native North American languages,1906.00,320.00,222.00,75.00
..Aleut,(D),(D),(B),--
..Arapaho,(D),(D),(D),(D)
..Ojibwa,(D),(D),(B),--
..Salish,(D),(D),(B),--
..Haida,(D),(D),(B),--
..Apache,20.00,24.00,(B),--
..Mountain Maidu,(D),(D),(B),--
..Washo,145.00,66.00,15.00,15.00
..Walapai,(D),(D),(B),--
..Yavapai,(D),(D),(D),(D)
..Crow,(D),(D),(B),--
..Mandan,(D),(D),(B),--
..Dakota,20.00,19.00,(B),--
..Cherokee,95.00,104.00,(D),(D)
..Paiute,740.00,167.00,80.00,42.00
..Northern Paiute,(D),(D),(D),(D)
..Southern Paiute,(D),(D),(B),--
..Ute,(D),(D),(B),--
..Shoshoni,570.00,151.00,100.00,53.00
..Pima,20.00,27.00,(B),--
..American Indian,210.00,134.00,(D),(D)
.Hungarian,1792.00,436.00,574.00,213.00
.Arabic,5964.00,1052.00,2000.00,527.00
.Hebrew,2565.00,583.00,427.00,151.00
.African languages,9641.00,1241.00,4722.00,778.00
..Amharic,7075.00,1045.00,3915.00,658.00
..Cushite,575.00,303.00,410.00,268.00
..Swahili,375.00,190.00,(D),(D)
..Bantu,545.00,427.00,50.00,53.00
..Fulani,(D),(D),(D),(D)
"..Kru, Ibo, Yoruba",715.00,272.00,105.00,109.00
..African,340.00,196.00,225.00,129.00
.Other and unspecified languages,818.00,265.00,314.00,194.00
..Finnish,105.00,65.00,(D),(D)
..Caucasian,(D),(D),(D),(D)
..Basque,90.00,60.00,45.00,51.00
..Syriac,475.00,241.00,210.00,181.00
..Mayan languages,(D),(D),(D),(D)
..Uncodable,90.00,51.00,(D),(D)
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US32). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
