Table with column headers in row 5 and row headers in column A,,,,
Table 18. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Kentucky:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)","8,260",712,"4,429",517
..Chinese,"6,780",679,"3,835",493
..Cantonese,160,94,(D),(D)
..Mandarin,"1,100",323,465,172
..Formosan,225,151,120,83
.Japanese,"4,813",565,"2,508",374
.Korean,"3,091",444,"1,634",326
".Mon-Khmer, Cambodian","1,122",511,438,246
.Hmong,86,107,47,60
.Thai,843,279,466,214
.Laotian,423,213,93,79
.Vietnamese,"4,964",728,"3,110",571
.Other Asian languages,"5,080",783,"2,135",575
..Kazakh,(D),(D),(B),--
..Uighur,90,112,70,83
..Azerbaijani,50,62,(D),(D)
..Turkish,580,258,265,161
..Mongolian,20,29,(D),(D)
..Telugu,"1,690",370,435,206
..Kannada,145,123,(D),(D)
..Malayalam,290,137,25,40
..Tamil,760,243,100,68
..Tibetan,(D),(D),(B),--
..Burmese,685,480,530,400
..Karen,755,399,650,342
.Tagalog,"2,885",504,726,226
.Other Pacific Island languages,"1,025",232,193,100
..Indonesian,230,117,80,66
..Balinese,(D),(D),(B),--
..Javanese,(D),(D),(B),--
..Bisayan,170,87,(D),(D)
..Sebuano,105,70,(B),--
..Pangasinan,(D),(D),(B),--
..Ilocano,15,19,(B),--
..Micronesian,(D),(D),(D),(D)
..Chamorro,80,53,(D),(D)
..Palau,105,81,(D),(D)
..Ponapean,15,23,(B),--
..Trukese,(D),(D),(B),--
..Samoan,135,88,(D),(D)
..Hawaiian,60,48,(B),--
ALL OTHER LANGUAGES,"14,399","1,541","5,358",738
.Navajo,13,15,6,12
.Other Native North American languages,510,146,110,62
..Miami,(D),(D),(D),(D)
..Ojibwa,(D),(D),(B),--
..Potawatomi,(D),(D),(B),--
..Apache,30,31,(B),--
..Yuma,(D),(D),(B),--
..Crow,(D),(D),(B),--
..Hidatsa,20,20,(B),--
..Dakota,75,58,(D),(D)
..Choctaw,15,22,15,22
..Keres,(D),(D),(D),(D)
..Cherokee,200,86,25,25
..Pawnee,(D),(D),(B),--
..American Indian,(D),(D),(D),(D)
.Hungarian,299,119,62,50
.Arabic,"6,715","1,110","2,373",477
.Hebrew,347,158,51,54
.African languages,"6,114",934,"2,605",566
..Amharic,550,225,350,164
..Chadic,25,35,(D),(D)
..Cushite,"2,005",628,"1,060",384
..Sudanic,220,137,110,69
..Nilotic,(D),(D),(D),(D)
..Swahili,710,211,195,119
..Bantu,"1,105",490,580,350
..Mande,50,51,(D),(D)
..Fulani,135,84,95,81
"..Kru, Ibo, Yoruba","1,180",357,150,109
..Efik,(D),(D),(B),--
..African,80,84,(D),(D)
.Other and unspecified languages,401,187,151,134
..Finnish,135,110,(D),(D)
..Estonian,(D),(D),(B),--
..Caucasian,(D),(D),(B),--
..Aztecan,(D),(D),(D),(D)
..Mayan languages,145,138,115,131
..Uncodable,85,53,(D),(D)
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US21). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
--  Either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
,,,,
