.Laotian,3429,637.00,1966,427.00
.Vietnamese,4589,688.00,2949,507.00
.Other Asian languages,2326,525.00,762,331.00
..Uighur,170,244.00,(D),(D)
..Turkish,315,206.00,150,204.00
..Mongolian,(D),(D),(D),(D)
..Telugu,905,327.00,195,139.00
..Kannada,220,218.00,(D),(D)
..Malayalam,135,100.00,30,40.00
..Tamil,550,222.00,180,94.00
..Burmese,(D),(D),(B),--
..Karen,(D),(D),(D),(D)
.Tagalog,2901,442.00,948,201.00
.Other Pacific Island languages,4571,484.00,2840,385.00
..Indonesian,370,219.00,145,90.00
..Malay,(D),(D),(B),--
..Bisayan,110,59.00,(D),(D)
..Sebuano,(D),(D),(D),(D)
..Ilocano,55,63.00,(D),(D)
..Pampangan,(D),(D),(B),--
..Marshallese,3845,376.00,2615,373.00
..Palau,(D),(D),(D),(D)
..Melanesian,70,70.00,(D),(D)
..Hawaiian,65,63.00,(B),--
ALL OTHER LANGUAGES,5038,982.00,1590,388.00
.Navajo,20,30.00,(B),--
.Other Native North American languages,888,292.00,311,191.00
..Yupik,(D),(D),(B),--
..Algonquian,40,43.00,(D),(D)
..Cree,(D),(D),(B),--
..Ojibwa,305,255.00,(D),(D)
..Chasta Costa,(D),(D),(B),--
..Dakota,(D),(D),(B),--
..Quapaw,(D),(D),(B),--
..Choctaw,105,104.00,(B),--
..Cherokee,240,103.00,65,55.00
..American Indian,80,57.00,(D),(D)
..Chiricahua,(D),(D),(D),(D)
.Hungarian,94,77.00,20,24.00
.Arabic,2704,809.00,1037,289.00
.Hebrew,25,29.00,11,19.00
.African languages,797,251.00,158,104.00
..Amharic,75,60.00,30,38.00
..Berber,45,76.00,45,76.00
..Chadic,(D),(D),(D),(D)
..Cushite,(D),(D),(B),--
..Swahili,215,89.00,45,47.00
..Bantu,165,127.00,25,30.00
"..Kru, Ibo, Yoruba",260,149.00,(B),--
..Efik,(D),(D),(B),--
.Other and unspecified languages,510,291.00,53,58.00
..Finnish,(D),(D),(D),(D)
..Estonian,(D),(D),(B),--
..Basque,180,256.00,(B),--
..Syriac,125,114.00,(B),--
..Mayan languages,(D),(D),(D),(D)
..Uncodable,135,64.00,(B),--
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US05). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
