.Tagalog,5633.00,561,1764.00,330
.Other Pacific Island languages,1843.00,327,714.00,185
..Indonesian,360.00,148,180.00,112
..Malagasy,35.00,41,(D),(D)
..Malay,115.00,79,50.00,61
..Bisayan,230.00,107,95.00,62
..Sebuano,235.00,104,85.00,59
..Ilocano,80.00,68,45.00,36
..Bikol,(D),(D),(B),--
..Pampangan,80.00,105,(D),(D)
..Micronesian,45.00,64,(D),(D)
..Chamorro,80.00,54,(D),(D)
..Kusaiean,(D),(D),(B),--
..Mokilese,(D),(D),(B),--
..Palau,20.00,21,(D),(D)
..Trukese,75.00,8,50.00,20
..Yapese,(D),(D),(B),--
..Melanesian,60.00,60,(D),(D)
..Samoan,165.00,81,70.00,63
..Tongan,10.00,12,(B),--
..Fijian,(D),(D),(D),(D)
..Hawaiian,140.00,123,(B),--
ALL OTHER LANGUAGES,86548.00,"3,069",32327.00,"1,583"
.Navajo,84.00,113,2.00,4
.Other Native North American languages,6028.00,581,513.00,129
..Aleut,(D),(D),(D),(D)
..Inupik,30.00,46,(B),--
..Blackfoot,(D),(D),(B),--
..Cheyenne,80.00,81,(B),--
..Fox,(D),(D),(B),--
..Menomini,4.00,7,(B),--
..Ojibwa,4565.00,462,400.00,123
..Kuchin,(D),(D),(B),--
..Apache,40.00,55,(B),--
..Nez Perce,(D),(D),(B),--
..Diegueno,40.00,48,(B),--
..Hidatsa,(D),(D),(B),--
..Dakota,750.00,224,50.00,36
..Muskogee,(D),(D),(D),(D)
..Seneca,(D),(D),(D),(D)
..Cherokee,25.00,37,(D),(D)
..American Indian,375.00,197,45.00,29
.Hungarian,467.00,155,44.00,45
.Arabic,9732.00,"1,181",3082.00,550
.Hebrew,1119.00,264,113.00,56
.African languages,64537.00,"2,466",27046.00,"1,290"
..Amharic,9490.00,"1,009",4395.00,504
..Berber,45.00,55,(D),(D)
..Chadic,245.00,124,70.00,78
..Cushite,38135.00,"2,032",18500.00,"1,124"
..Sudanic,530.00,375,140.00,115
..Nilotic,970.00,348,315.00,163
..Nilo-Hamitic,170.00,149,(B),--
..Swahili,4360.00,741,1025.00,287
..Bantu,1935.00,558,315.00,175
..Mande,1640.00,511,500.00,208
..Fulani,230.00,122,55.00,42
"..Kru, Ibo, Yoruba",6425.00,781,1555.00,326
..Efik,205.00,165,55.00,67
..African,150.00,110,100.00,98
.Other and unspecified languages,4581.00,481,1527.00,329
..Finnish,3175.00,358,595.00,146
..Estonian,100.00,60,30.00,25
..Caucasian,45.00,50,30.00,34
..Basque,(D),(D),(B),--
..Syriac,50.00,41,(D),(D)
..Mayan languages,955.00,349,760.00,290
..Oto - Manguen,4.00,12,4.00,12
..Quechua,75.00,113,70.00,112
..Arawakian,(D),(D),(D),(D)
..Uncodable,90.00,50,(B),--
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US27). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
