..Tibetan,50.00,47.00,(D),(D)
..Burmese,1280.00,419.00,880.00,283.00
..Karen,3155.00,959.00,2505.00,813.00
.Tagalog,12098.00,1046.00,2675.00,343.00
.Other Pacific Island languages,4548.00,746.00,1450.00,366.00
..Indonesian,1055.00,345.00,510.00,178.00
..Balinese,175.00,222.00,65.00,86.00
..Cham,455.00,295.00,315.00,209.00
..Malagasy,(D),(D),(B),--
..Malay,235.00,240.00,(B),--
..Bisayan,300.00,170.00,135.00,98.00
..Sebuano,255.00,134.00,20.00,21.00
..Pangasinan,(D),(D),(D),(D)
..Ilocano,75.00,60.00,(D),(D)
..Pampangan,50.00,46.00,(D),(D)
..Micronesian,310.00,198.00,(B),--
..Carolinian,70.00,107.00,(D),(D)
..Chamorro,415.00,155.00,100.00,68.00
..Gilbertese,(D),(D),(D),(D)
..Marshallese,50.00,32.00,(D),(D)
..Mokilese,145.00,197.00,70.00,104.00
..Palau,40.00,49.00,(D),(D)
..Ponapean,115.00,119.00,30.00,34.00
..Trukese,20.00,94.00,(D),(D)
..Yapese,(D),(D),(D),(D)
..Melanesian,30.00,25.00,(B),--
..Polynesian,30.00,33.00,(B),--
..Samoan,635.00,302.00,70.00,63.00
..Tongan,(D),(D),(B),--
..Fijian,(D),(D),(B),--
..Hawaiian,20.00,26.00,(D),(D)
ALL OTHER LANGUAGES,42970.00,2698.00,11835.00,1135.00
.Navajo,243.00,95.00,52.00,43.00
.Other Native North American languages,1753.00,386.00,355.00,144.00
..Aleut,(D),(D),(D),(D)
..Inupik,(D),(D),(B),--
..Yupik,35.00,41.00,(B),--
..Kickapoo,(D),(D),(B),--
..Micmac,60.00,44.00,(B),--
..Ojibwa,35.00,39.00,(D),(D)
..Ottawa,(D),(D),(B),--
..Tlingit,(D),(D),(B),--
..Crow,(D),(D),(D),(D)
..Dakota,75.00,51.00,(D),(D)
..Choctaw,(D),(D),(B),--
..Keres,30.00,37.00,30.00,37.00
..Mohawk,(D),(D),(B),--
..Tuscarora,95.00,69.00,30.00,29.00
..Cherokee,1170.00,337.00,175.00,93.00
..Zuni,(D),(D),(B),--
..American Indian,130.00,93.00,55.00,69.00
.Hungarian,1262.00,459.00,119.00,59.00
.Arabic,16371.00,1524.00,5324.00,778.00
.Hebrew,1583.00,379.00,127.00,70.00
.African languages,20594.00,1832.00,5477.00,794.00
..Amharic,3545.00,724.00,1340.00,401.00
..Berber,(D),(D),(B),--
..Chadic,740.00,353.00,355.00,198.00
..Cushite,1445.00,588.00,310.00,190.00
..Sudanic,480.00,367.00,265.00,215.00
..Nilotic,40.00,45.00,(B),--
..Nilo-Saharan,(D),(D),(D),(D)
..Swahili,3065.00,763.00,925.00,455.00
..Bantu,2220.00,813.00,360.00,204.00
..Mande,875.00,317.00,210.00,105.00
..Fulani,1380.00,660.00,230.00,140.00
..Gur,30.00,50.00,(D),(D)
"..Kru, Ibo, Yoruba",6220.00,1027.00,1115.00,368.00
..Efik,45.00,61.00,(B),--
..Mbum (and related),40.00,65.00,40.00,65.00
..African,420.00,313.00,305.00,242.00
.Other and unspecified languages,1164.00,350.00,381.00,170.00
..Finnish,400.00,185.00,90.00,77.00
..Estonian,60.00,71.00,(D),(D)
..Caucasian,(D),(D),(D),(D)
..Syriac,55.00,78.00,25.00,52.00
..Mayan languages,200.00,154.00,170.00,124.00
..Tarascan,30.00,35.00,(D),(D)
..Oto - Manguen,25.00,27.00,(D),(D)
..Arawakian,(D),(D),(B),--
..Tupi-Guarani,(D),(D),(D),(D)
..Uncodable,220.00,94.00,(D),(D)
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US37). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
