.Other Indic languages,184194.00,"5,406",73097.00,"2,802"
..India n.e.c.3,7915.00,"1,162",2250.00,463
..Bengali,22790.00,"1,775",7890.00,945
..Panjabi,118870.00,"4,739",53335.00,"2,179"
..Marathi,15450.00,"1,413",1865.00,388
..Bihari,(D),(D),(B),--
..Rajasthani,45.00,56,(D),(D)
..Oriya,680.00,261,200.00,167
..Assamese,190.00,138,(D),(D)
..Kashmiri,445.00,283,(D),(D)
..Nepali,7165.00,"1,102",3925.00,720
..Sindhi,1505.00,510,360.00,199
..Pakistan n.e.c.3,1570.00,525,600.00,208
..Sinhalese,7290.00,953,2550.00,586
..Romany,255.00,179,50.00,67
.Other Indo-European languages,46760.00,"2,240",15797.00,998
..Jamaican Creole,1220.00,393,245.00,149
..Krio,680.00,294,285.00,184
..Hawaiian Pidgin,(D),(D),(D),(D)
..Pidgin,305.00,132,40.00,35
..Gullah,(D),(D),(B),--
..Catalonian,345.00,153,75.00,48
..Romanian,25075.00,"1,736",8590.00,741
..Rhaeto-Romanic,(D),(D),(B),--
..Welsh,170.00,100,(D),(D)
..Irish Gaelic,2575.00,480,400.00,215
..Scottic Gaelic,115.00,59,(D),(D)
..Albanian,2185.00,510,755.00,273
..Lithuanian,3090.00,507,900.00,267
..Latvian,1740.00,378,420.00,133
..Pashto,6785.00,"1,407",2835.00,619
..Kurdish,2325.00,508,1115.00,346
..Balochi,110.00,149,45.00,78
..Ossete,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,3375028.00,"12,691",1655771.00,"9,450"
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",1058231.00,"8,797",593816.00,"5,856"
..Chinese,574075.00,"6,875",332215.00,"4,915"
..Hakka,285.00,122,175.00,107
..Cantonese,234775.00,"4,553",133380.00,"3,021"
..Mandarin,213840.00,"5,475",106995.00,"3,229"
..Fuchow,95.00,108,65.00,75
..Formosan,34350.00,"2,204",20500.00,"1,428"
..Wu,815.00,310,490.00,191
.Japanese,140575.00,"3,757",64044.00,"2,048"
.Korean,372742.00,"6,323",218622.00,"4,279"
".Mon-Khmer, Cambodian",79882.00,"4,039",41350.00,"2,048"
.Hmong,76789.00,"3,747",35655.00,"2,144"
.Thai,46434.00,"2,607",26035.00,"1,597"
.Laotian,36849.00,"2,319",18796.00,"1,213"
.Vietnamese,521534.00,"8,601",311142.00,"5,256"
.Other Asian languages,156029.00,"4,001",44934.00,"2,040"
..Karakalpak,(D),(D),(B),--
..Kazakh,300.00,222,125.00,104
..Kirghiz,150.00,145,(D),(D)
..Karachay,15.00,20,(D),(D)
..Uighur,1230.00,668,520.00,250
..Azerbaijani,280.00,147,125.00,72
..Turkish,13370.00,985,4730.00,605
..Mongolian,2895.00,690,1750.00,447
..Dravidian,310.00,182,(D),(D)
..Gondi,160.00,157,80.00,97
..Telugu,39870.00,"2,028",8580.00,919
..Kannada,10530.00,"1,023",1505.00,315
..Malayalam,11955.00,"1,364",2355.00,420
..Tamil,39655.00,"2,128",6125.00,738
..Munda,205.00,169,(D),(D)
..Burushaski,(D),(D),(D),(D)
..Tibetan,1850.00,410,935.00,301
..Burmese,16590.00,"1,323",10210.00,974
..Karen,1160.00,386,975.00,355
..Kachin,20.00,23,(D),(D)
..Mien,15355.00,"1,944",6720.00,949
..Paleo-siberian,(D),(D),(B),--
.Tagalog,764743.00,"8,411",258008.00,"4,314"
.Other Pacific Island languages,121220.00,"3,715",43369.00,"2,009"
..Indonesian,27585.00,"1,865",11925.00,"1,002"
..Balinese,(D),(D),(B),--
..Cham,280.00,166,65.00,57
..Javanese,165.00,159,45.00,45
..Malagasy,(D),(D),(B),--
..Malay,2415.00,552,710.00,238
..Bisayan,11150.00,"1,080",4300.00,644
..Sebuano,4310.00,663,1340.00,309
..Pangasinan,1520.00,452,850.00,309
..Ilocano,19495.00,"1,493",9160.00,916
..Bikol,255.00,110,65.00,55
..Pampangan,2915.00,467,1250.00,279
..Micronesian,105.00,86,65.00,57
..Carolinian,(D),(D),(D),(D)
..Chamorro,5860.00,725,970.00,225
..Gilbertese,100.00,87,(D),(D)
..Kusaiean,105.00,80,45.00,40
..Marshallese,950.00,369,490.00,194
..Mokilese,(D),(D),(B),--
..Palau,630.00,225,255.00,144
..Ponapean,220.00,196,145.00,133
..Trukese,135.00,111,(D),(D)
..Yapese,(D),(D),(B),--
..Melanesian,130.00,133,25.00,27
..Polynesian,200.00,114,70.00,63
..Samoan,21230.00,"1,919",5505.00,723
..Tongan,15150.00,"1,745",4710.00,775
..Tokelauan,(D),(D),(B),--
..Fijian,4350.00,814,1090.00,350
..Maori,80.00,53,(D),(D)
..Nukuoro,(D),(D),(B),--
..Hawaiian,1705.00,380,195.00,85
ALL OTHER LANGUAGES,325168.00,"6,787",108652.00,"3,359"
.Navajo,1401.00,333,177.00,66
.Other Native North American languages,5989.00,613,880.00,210
..Aleut,35.00,35,(D),(D)
..Eskimo,20.00,22,(B),--
..Inupik,65.00,70,55.00,71
..St. Lawrence Island Yupik,(D),(D),(B),--
..Yupik,(D),(D),(B),--
..Algonquian,40.00,28,(B),--
..Blackfoot,(D),(D),(D),(D)
..Cheyenne,65.00,46,(B),--
..Cree,95.00,131,(D),(D)
..Delaware,(D),(D),(D),(D)
..Menomini,(D),(D),(B),--
..Ojibwa,130.00,84,(D),(D)
..Ottawa,35.00,44,(D),(D)
..Penobscot,(D),(D),(B),--
..Yurok,345.00,108,(D),(D)
..Salish,15.00,19,(B),--
..Ingalit,(D),(D),(B),--
..Kuchin,40.00,74,(B),--
..Chasta Costa,(D),(D),(D),(D)
..Hupa,65.00,39,(B),--
..Other Athapascan-Eyak,25.00,34,(B),--
..Apache,160.00,82,(D),(D)
..Mountain Maidu,195.00,150,(D),(D)
..Northwest Maidu,(D),(D),(B),--
..Southern Maidu,(D),(D),(B),--
..Sierra Miwok,155.00,105,(B),--
..Nomlaki,(D),(D),(B),--
..Patwin,4.00,6,(B),--
..Wintun,95.00,80,(B),--
..Foothill North Yokuts,60.00,36,10.00,10
..Tachi,(D),(D),(B),--
..Achumawi,(D),(D),(D),(D)
..Atsugewi,(D),(D),(B),--
..Karok,330.00,161,20.00,27
..Pomo,270.00,198,(B),--
..Washo,65.00,47,30.00,33
..Cocomaricopa,(D),(D),(B),--
..Mohave,50.00,27,(D),(D)
..Yuma,110.00,51,25.00,27
..Diegueno,170.00,106,(D),(D)
..Yavapai,(D),(D),(B),--
..Chumash,(D),(D),(B),--
..Tonkawa,15.00,23,(D),(D)
..Crow,(D),(D),(B),--
..Hidatsa,(D),(D),(B),--
..Dakota,385.00,126,25.00,22
..Winnebago,(D),(D),(B),--
..Omaha,(D),(D),(B),--
..Ponca,85.00,118,(B),--
..Alabama,(D),(D),(B),--
..Choctaw,135.00,83,30.00,43
..Muskogee,80.00,59,(D),(D)
..Keres,180.00,139,120.00,98
..Iroquois,75.00,123,65.00,101
..Seneca,30.00,28,(D),(D)
..Cherokee,560.00,153,75.00,73
..Arikara,(D),(D),(B),--
..Pawnee,(D),(D),(B),--
..Comanche,65.00,63,(B),--
..Mono,60.00,35,(B),--
..Paiute,170.00,63,60.00,38
..Chemehuevi,(D),(D),(B),--
..Kawaiisu,(D),(D),(B),--
..Ute,(D),(D),(B),--
..Shoshoni,45.00,40,(B),--
..Hopi,205.00,129,(B),--
..Cahuilla,60.00,36,(B),--
..Cupeno,10.00,9,(B),--
..Luiseno,75.00,61,15.00,21
..Serrano,(D),(D),(B),--
..Pima,85.00,57,(D),(D)
..Yaqui,(D),(D),(B),--
..Picuris,155.00,132,(D),(D)
..American Indian,425.00,122,70.00,47
..Chiricahua,(D),(D),(B),--
..San Carlos,(D),(D),(B),--
.Hungarian,13236.00,"1,035",4003.00,499
.Arabic,153635.00,"4,636",58805.00,"2,616"
.Hebrew,41311.00,"2,225",7193.00,784
.African languages,71399.00,"3,273",20590.00,"1,722"
..Amharic,27440.00,"2,302",10405.00,"1,186"
..Berber,560.00,232,465.00,208
..Chadic,215.00,120,30.00,30
..Cushite,7290.00,"1,338",2305.00,601
..Sudanic,325.00,291,40.00,53
..Nilotic,380.00,225,60.00,82
..Nubian,(D),(D),(B),--
..Saharan,80.00,95,(D),(D)
..Nilo-Saharan,(D),(D),(D),(D)
..Swahili,6535.00,"1,026",1290.00,360
..Bantu,5085.00,"1,022",1210.00,439
..Mande,415.00,196,240.00,133
..Fulani,705.00,335,150.00,103
..Gur,230.00,291,(D),(D)
"..Kru, Ibo, Yoruba",20650.00,"1,747",4035.00,651
..Efik,460.00,183,110.00,88
..Mbum (and related),(D),(D),(B),--
..African,975.00,394,185.00,112
.Other and unspecified languages,38197.00,"2,358",17004.00,"1,469"
..Finnish,3545.00,530,545.00,225
..Estonian,700.00,258,105.00,60
..Caucasian,705.00,248,455.00,201
..Basque,695.00,209,265.00,101
..Syriac,27725.00,"2,009",12100.00,"1,185"
..Aztecan,195.00,113,75.00,63
..Misumalpan,35.00,38,35.00,37
..Mayan languages,1000.00,357,830.00,326
..Oto - Manguen,2505.00,771,2335.00,700
..Quechua,230.00,180,185.00,164
..Arawakian,575.00,236,40.00,42
..Tupi-Guarani,40.00,35,30.00,24
..Uncodable,255.00,119,(D),(D)
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US06). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
