Table with column headers in row 5 and row headers in column A,,,,
Table 1. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for United States:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
..Mokilese,500.00,250.00,190.00,141.00
..Mortlockese,(D),(D),(D),(D)
..Nauruan,(D),(D),(D),(D)
..Palau,4140.00,704.00,1290.00,340.00
..Ponapean,3525.00,809.00,1495.00,401.00
..Trukese,8790.00,1146.00,5200.00,867.00
..Ulithean,40.00,41.00,(D),(D)
..Woleai-Ulithi,140.00,142.00,(D),(D)
..Yapese,720.00,266.00,350.00,178.00
..Melanesian,1305.00,338.00,295.00,154.00
..Polynesian,435.00,166.00,160.00,83.00
..Samoan,64135.00,2669.00,16905.00,1277.00
..Tongan,31440.00,2677.00,8855.00,968.00
..Niuean,(D),(D),(B),--
..Tokelauan,125.00,91.00,(D),(D)
..Fijian,5755.00,884.00,1360.00,377.00
..Marquesan,135.00,85.00,(B),--
..Rarotongan,95.00,87.00,(B),--
..Maori,460.00,235.00,145.00,139.00
..Nukuoro,210.00,143.00,85.00,89.00
..Hawaiian,26205.00,1599.00,4280.00,647.00
ALL OTHER LANGUAGES,2626244.00,22243.00,809834.00,8898.00
.Navajo,166826.00,2493.00,35250.00,1340.00
.Other Native North American languages,197505.00,3118.00,29548.00,1198.00
..Aleut,995.00,184.00,170.00,81.00
..Pacific Gulf Yupik,70.00,51.00,(B),--
..Eskimo,1270.00,250.00,265.00,77.00
..Inupik,6740.00,417.00,1365.00,192.00
..St. Lawrence Island Yupik,1070.00,124.00,285.00,54.00
..Yupik,19750.00,897.00,5930.00,421.00
..Algonquian,1030.00,323.00,265.00,193.00
..Arapaho,1065.00,223.00,50.00,27.00
..Atsina,55.00,48.00,(B),--
..Blackfoot,1450.00,231.00,65.00,42.00
..Cheyenne,1920.00,347.00,175.00,88.00
..Cree,870.00,231.00,190.00,117.00
..Delaware,240.00,109.00,60.00,71.00
..Fox,400.00,119.00,75.00,36.00
..Kickapoo,820.00,189.00,220.00,84.00
..Menomini,405.00,152.00,85.00,57.00
..French Cree,170.00,125.00,120.00,120.00
..Miami,115.00,130.00,55.00,103.00
..Micmac,205.00,71.00,40.00,39.00
..Ojibwa,9735.00,659.00,1110.00,247.00
..Ottawa,965.00,315.00,155.00,97.00
..Passamaquoddy,845.00,130.00,55.00,27.00
..Penobscot,75.00,41.00,(D),(D)
..Abnaki,55.00,31.00,(D),(D)
..Potawatomi,985.00,196.00,60.00,37.00
..Shawnee,255.00,134.00,(D),(D)
..Yurok,350.00,110.00,25.00,25.00
..Kutenai,215.00,151.00,(D),(D)
..Makah,150.00,108.00,80.00,87.00
..Kwakiutl,175.00,103.00,(D),(D)
..Nootka,(D),(D),(B),--
..Upper Chehalis,4.00,8.00,(D),(D)
..Clallam,145.00,94.00,(D),(D)
..Coeur d'Alene,95.00,59.00,(B),--
..Columbia,(D),(D),(B),--
..Salish,1350.00,252.00,100.00,49.00
..Okanogan,230.00,152.00,110.00,100.00
..Puget Sound Salish,215.00,92.00,(D),(D)
..Quinault,145.00,89.00,(D),(D)
..Tillamook,(D),(D),(B),--
..Twana,(D),(D),(D),(D)
..Haida,180.00,103.00,(D),(D)
..Athapascan,1265.00,172.00,170.00,44.00
..Ahtena,45.00,33.00,(D),(D)
..Han,60.00,91.00,40.00,60.00
..Ingalit,15.00,12.00,(D),(D)
..Koyukon,65.00,43.00,(D),(D)
..Kuchin,1285.00,322.00,305.00,95.00
..Upper Kuskokwim,(D),(D),(B),--
..Tanaina,90.00,58.00,(D),(D)
..Tanana,(D),(D),(B),--
..Upper Tanana,(D),(D),(B),--
..Chasta Costa,165.00,106.00,(D),(D)
..Hupa,70.00,39.00,(B),--
..Other Athapascan-Eyak,25.00,34.00,(B),--
..Apache,13445.00,825.00,1595.00,277.00
..Kiowa,750.00,224.00,30.00,24.00
..Tlingit,1240.00,239.00,130.00,56.00
..Mountain Maidu,200.00,148.00,(D),(D)
..Northwest Maidu,(D),(D),(B),--
..Southern Maidu,(D),(D),(B),--
..Sierra Miwok,155.00,105.00,(B),--
..Nomlaki,(D),(D),(D),(D)
..Patwin,4.00,6.00,(B),--
..Wintun,135.00,105.00,40.00,70.00
..Foothill North Yokuts,225.00,133.00,85.00,76.00
..Tachi,(D),(D),(B),--
..Santiam,55.00,46.00,(D),(D)
..Siuslaw,10.00,14.00,(D),(D)
..Klamath,205.00,136.00,(D),(D)
..Nez Perce,805.00,173.00,40.00,30.00
..Sahaptian,1295.00,384.00,110.00,52.00
..Upper Chinook,270.00,151.00,50.00,63.00
..Tsimshian,40.00,26.00,15.00,21.00
..Achumawi,(D),(D),(D),(D)
..Atsugewi,(D),(D),(B),--
..Karok,445.00,200.00,100.00,106.00
..Pomo,485.00,204.00,70.00,65.00
..Washo,215.00,74.00,45.00,38.00
..Cocomaricopa,35.00,30.00,(B),--
..Mohave,200.00,62.00,35.00,30.00
..Yuma,290.00,126.00,80.00,62.00
..Diegueno,295.00,180.00,40.00,48.00
..Delta River Yuman,365.00,154.00,10.00,10.00
..Havasupai,145.00,99.00,4.00,10.00
..Walapai,300.00,92.00,4.00,10.00
..Yavapai,245.00,114.00,20.00,16.00
..Chumash,(D),(D),(B),--
..Tonkawa,50.00,64.00,(D),(D)
..Yuchi,165.00,138.00,(B),--
..Crow,4160.00,519.00,215.00,166.00
..Hidatsa,625.00,169.00,50.00,42.00
..Mandan,75.00,70.00,20.00,25.00
..Dakota,17855.00,1091.00,1330.00,232.00
..Chiwere,105.00,64.00,25.00,21.00
..Winnebago,1720.00,293.00,185.00,74.00
..Kansa,20.00,26.00,(B),--
..Omaha,480.00,162.00,15.00,9.00
..Osage,420.00,155.00,(D),(D)
..Ponca,305.00,145.00,25.00,26.00
..Quapaw,(D),(D),(B),--
..Alabama,370.00,141.00,70.00,44.00
..Choctaw,9635.00,747.00,1425.00,256.00
..Mikasuki,290.00,134.00,65.00,49.00
..Koasati,365.00,135.00,25.00,21.00
..Muskogee,4465.00,477.00,710.00,202.00
..Chetemacha,65.00,43.00,(D),(D)
..Keres,13190.00,730.00,2295.00,339.00
..Iroquois,165.00,140.00,65.00,101.00
..Mohawk,1945.00,431.00,225.00,92.00
..Oneida,770.00,224.00,65.00,59.00
..Onondaga,75.00,94.00,(B),--
..Cayuga,(D),(D),(B),--
..Seneca,1015.00,232.00,210.00,88.00
..Tuscarora,240.00,131.00,40.00,31.00
..Wyandot,30.00,34.00,(B),--
..Cherokee,11465.00,941.00,1460.00,240.00
..Arikara,155.00,66.00,40.00,27.00
..Caddo,115.00,110.00,(B),--
..Pawnee,95.00,52.00,(D),(D)
..Wichita,(D),(D),(B),--
..Comanche,1015.00,258.00,90.00,58.00
..Mono,355.00,226.00,105.00,112.00
..Paiute,1305.00,264.00,200.00,76.00
..Northern Paiute,30.00,24.00,(D),(D)
..Southern Paiute,(D),(D),(D),(D)
..Chemehuevi,(D),(D),(B),--
..Kawaiisu,(D),(D),(B),--
..Ute,1895.00,287.00,145.00,58.00
..Shoshoni,2000.00,257.00,180.00,66.00
..Hopi,6075.00,767.00,1525.00,367.00
..Cahuilla,60.00,36.00,(B),--
..Cupeno,20.00,23.00,(D),(D)
..Luiseno,75.00,61.00,15.00,21.00
..Serrano,(D),(D),(B),--
..Pima,6990.00,687.00,720.00,193.00
..Yaqui,640.00,252.00,55.00,51.00
..Picuris,155.00,133.00,(D),(D)
..Tiwa,2180.00,344.00,100.00,55.00
..Sandia,(D),(D),(B),--
..Tewa,4620.00,480.00,360.00,135.00
..Towa,1925.00,350.00,535.00,236.00
..Zuni,9615.00,1127.00,1240.00,305.00
..Chinook Jargon,45.00,25.00,(D),(D)
..American Indian,7110.00,683.00,1175.00,271.00
..Jicarilla,510.00,178.00,30.00,20.00
..Chiricahua,155.00,56.00,20.00,20.00
..San Carlos,360.00,159.00,30.00,26.00
..Kalispel,30.00,28.00,(B),--
..Spokane,(D),(D),(B),--
.Hungarian,86406.00,2446.00,25983.00,1374.00
.Arabic,924374.00,13743.00,341425.00,5888.00
.Hebrew,212747.00,4707.00,34912.00,1591.00
.African languages,894499.00,11901.00,284099.00,5638.00
..Amharic,195260.00,6368.00,81385.00,3479.00
..Berber,2940.00,756.00,1630.00,472.00
..Chadic,8565.00,991.00,2275.00,426.00
..Cushite,122445.00,4437.00,59495.00,2817.00
..Sudanic,8510.00,1317.00,3935.00,710.00
..Nilotic,6890.00,1184.00,2235.00,490.00
..Nilo-Hamitic,1275.00,644.00,575.00,327.00
..Nubian,305.00,234.00,185.00,175.00
..Saharan,80.00,95.00,(D),(D)
..Nilo-Saharan,270.00,183.00,155.00,127.00
..Khoisan,55.00,89.00,20.00,32.00
..Swahili,88685.00,3414.00,22055.00,1913.00
..Bantu,56685.00,2641.00,16635.00,1574.00
..Mande,29835.00,2461.00,10370.00,1171.00
..Fulani,30475.00,2022.00,11745.00,1193.00
..Gur,1310.00,529.00,405.00,272.00
"..Kru, Ibo, Yoruba",322255.00,7681.00,64690.00,2487.00
..Efik,5620.00,775.00,905.00,305.00
..Mbum (and related),715.00,353.00,370.00,269.00
..African,12320.00,1508.00,5000.00,997.00
.Other and unspecified languages,143887.00,4166.00,58617.00,2664.00
..Finnish,25805.00,1198.00,4350.00,447.00
..Estonian,6035.00,775.00,1335.00,274.00
..Lapp,(D),(D),(B),--
..Other Uralic languages,20.00,22.00,(B),--
..Caucasian,8980.00,1034.00,4280.00,674.00
..Basque,1860.00,451.00,635.00,160.00
..Syriac,74725.00,3878.00,33600.00,2206.00
..Aztecan,720.00,267.00,400.00,193.00
..Sonoran,60.00,68.00,60.00,68.00
..Misumalpan,95.00,78.00,35.00,37.00
..Mayan languages,7650.00,1273.00,5730.00,941.00
..Tarascan,60.00,54.00,40.00,40.00
..Mapuche,210.00,267.00,195.00,246.00
..Oto - Manguen,5100.00,1161.00,4425.00,976.00
..Quechua,1300.00,465.00,1000.00,438.00
..Arawakian,3150.00,765.00,925.00,253.00
..Chibchan,1095.00,515.00,865.00,413.00
..Tupi-Guarani,245.00,102.00,155.00,67.00
..Uncodable,6760.00,571.00,595.00,163.00
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0100000US). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
