..Oriya,400.00,247.00,65.00,71.00
..Assamese,120.00,98.00,(D),(D)
..Kashmiri,60.00,59.00,(B),--
..Nepali,11735.00,1260.00,6490.00,921.00
..Sindhi,850.00,315.00,185.00,135.00
..Pakistan n.e.c.3,1630.00,604.00,565.00,352.00
..Sinhalese,2560.00,570.00,730.00,325.00
..Romany,70.00,51.00,(B),--
.Other Indo-European languages,15306.00,1410.00,5076.00,802.00
..Jamaican Creole,445.00,166.00,30.00,35.00
..Krio,905.00,381.00,95.00,72.00
..Hawaiian Pidgin,(D),(D),(D),(D)
..Pidgin,230.00,149.00,135.00,138.00
..Gullah,25.00,28.00,(B),--
..Catalonian,165.00,107.00,30.00,34.00
..Romanian,6460.00,841.00,2005.00,394.00
..Welsh,120.00,57.00,(B),--
..Irish Gaelic,690.00,227.00,40.00,30.00
..Scottic Gaelic,65.00,73.00,(D),(D)
..Albanian,2935.00,927.00,1385.00,545.00
..Lithuanian,350.00,135.00,55.00,44.00
..Latvian,290.00,128.00,100.00,89.00
..Pashto,895.00,427.00,315.00,191.00
..Kurdish,1690.00,524.00,850.00,282.00
..Balochi,30.00,43.00,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,617042.00,5725.00,282167.00,4246.00
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",140871.00,3982.00,68469.00,2700.00
..Chinese,101890.00,3355.00,52130.00,2285.00
..Hakka,130.00,102.00,125.00,102.00
..Cantonese,10240.00,1075.00,4870.00,636.00
..Mandarin,23260.00,1750.00,8510.00,889.00
..Formosan,5310.00,672.00,2820.00,423.00
..Wu,40.00,53.00,(D),(D)
.Japanese,15675.00,1209.00,6572.00,634.00
.Korean,55794.00,2318.00,30366.00,1602.00
".Mon-Khmer, Cambodian",10153.00,1481.00,5776.00,943.00
.Hmong,768.00,290.00,311.00,182.00
.Thai,9871.00,955.00,4781.00,639.00
.Laotian,10999.00,1282.00,5741.00,915.00
.Vietnamese,193408.00,5443.00,113149.00,3551.00
.Other Asian languages,90466.00,3602.00,25693.00,1747.00
..Kazakh,105.00,117.00,50.00,63.00
..Kirghiz,85.00,84.00,(D),(D)
..Karachay,105.00,124.00,(D),(D)
..Uighur,210.00,156.00,(D),(D)
..Azerbaijani,195.00,156.00,130.00,115.00
..Turkish,7970.00,1063.00,2360.00,458.00
..Turkmen,75.00,91.00,(D),(D)
..Mongolian,90.00,82.00,65.00,74.00
..Tungus,45.00,54.00,(D),(D)
..Dravidian,15.00,21.00,(B),--
..Gondi,85.00,70.00,(D),(D)
..Telugu,26260.00,1847.00,5220.00,681.00
..Kannada,3840.00,723.00,460.00,196.00
..Malayalam,26130.00,2080.00,7180.00,899.00
..Tamil,16960.00,1621.00,3260.00,677.00
..Tibetan,120.00,107.00,45.00,54.00
..Burmese,5510.00,886.00,4715.00,781.00
..Karen,2630.00,767.00,2100.00,622.00
..Kachin,(D),(D),(D),(D)
..Mien,(D),(D),(B),--
.Tagalog,72248.00,2934.00,16791.00,1176.00
.Other Pacific Island languages,16789.00,1440.00,4518.00,720.00
..Indonesian,4375.00,769.00,1415.00,364.00
..Cham,(D),(D),(B),--
..Javanese,(D),(D),(D),(D)
..Malagasy,10.00,13.00,10.00,13.00
..Malay,1425.00,416.00,445.00,253.00
..Bisayan,1395.00,401.00,460.00,183.00
..Sebuano,1205.00,552.00,450.00,267.00
..Pangasinan,(D),(D),(B),--
..Ilocano,530.00,170.00,145.00,78.00
..Bikol,20.00,27.00,(D),(D)
..Pampangan,200.00,122.00,50.00,48.00
..Micronesian,275.00,245.00,(B),--
..Carolinian,125.00,151.00,(D),(D)
..Chamorro,1590.00,451.00,160.00,93.00
..Kusaiean,(D),(D),(B),--
..Marshallese,645.00,168.00,285.00,90.00
..Mokilese,(D),(D),(B),--
..Palau,435.00,229.00,180.00,130.00
..Ponapean,305.00,185.00,95.00,77.00
..Trukese,340.00,279.00,160.00,143.00
..Melanesian,75.00,73.00,(D),(D)
..Polynesian,(D),(D),(D),(D)
..Samoan,1455.00,350.00,190.00,103.00
..Tongan,1655.00,516.00,300.00,157.00
..Fijian,105.00,118.00,(D),(D)
..Maori,(D),(D),(B),--
..Hawaiian,480.00,187.00,60.00,72.00
ALL OTHER LANGUAGES,151070.00,4811.00,43866.00,2245.00
.Navajo,1021.00,297.00,156.00,94.00
.Other Native North American languages,2630.00,416.00,507.00,150.00
..Aleut,(D),(D),(B),--
..Inupik,(D),(D),(D),(D)
..Yupik,(D),(D),(B),--
..Fox,(D),(D),(D),(D)
..Kickapoo,405.00,114.00,110.00,61.00
..French Cree,(D),(D),(D),(D)
..Micmac,(D),(D),(B),--
..Ojibwa,70.00,102.00,(B),--
..Ottawa,(D),(D),(B),--
..Potawatomi,(D),(D),(D),(D)
..Tillamook,(D),(D),(B),--
..Athapascan,(D),(D),(B),--
..Kuchin,(D),(D),(B),--
..Tanaina,(D),(D),(B),--
..Apache,55.00,42.00,(B),--
..Kiowa,25.00,52.00,(B),--
..Tlingit,4.00,10.00,(B),--
..Foothill North Yokuts,(D),(D),(D),(D)
..Karok,(D),(D),(B),--
..Yuchi,(D),(D),(B),--
..Crow,(D),(D),(B),--
..Hidatsa,(D),(D),(D),(D)
..Dakota,165.00,85.00,30.00,28.00
..Osage,(D),(D),(B),--
..Alabama,290.00,114.00,55.00,33.00
..Choctaw,200.00,80.00,75.00,55.00
..Koasati,130.00,94.00,25.00,21.00
..Muskogee,75.00,65.00,(B),--
..Keres,40.00,43.00,(B),--
..Iroquois,(D),(D),(B),--
..Oneida,(D),(D),(B),--
..Seneca,(D),(D),(B),--
..Cherokee,520.00,225.00,100.00,71.00
..Comanche,(D),(D),(B),--
..Mono,(D),(D),(B),--
..Pima,55.00,65.00,(D),(D)
..Tiwa,20.00,20.00,(D),(D)
..Tewa,4.00,10.00,(B),--
..Zuni,65.00,85.00,(B),--
..American Indian,60.00,41.00,(B),--
..San Carlos,(D),(D),(B),--
.Hungarian,2902.00,539.00,693.00,220.00
.Arabic,55304.00,2843.00,19399.00,1258.00
.Hebrew,5633.00,930.00,873.00,245.00
.African languages,80814.00,3857.00,21419.00,1707.00
..Amharic,15470.00,1650.00,6470.00,1110.00
..Berber,65.00,67.00,(D),(D)
..Chadic,590.00,336.00,145.00,94.00
..Cushite,4155.00,1188.00,2645.00,836.00
..Sudanic,515.00,309.00,330.00,216.00
..Nilotic,425.00,255.00,125.00,175.00
..Nilo-Hamitic,35.00,37.00,(B),--
..Nubian,50.00,51.00,(D),(D)
..Swahili,11000.00,1192.00,2040.00,474.00
..Bantu,5735.00,1228.00,2170.00,798.00
..Mande,730.00,328.00,265.00,149.00
..Fulani,885.00,337.00,180.00,118.00
..Gur,(D),(D),(B),--
"..Kru, Ibo, Yoruba",38040.00,2871.00,6170.00,787.00
..Efik,1200.00,508.00,125.00,138.00
..Mbum (and related),(D),(D),(B),--
..African,1860.00,479.00,735.00,377.00
.Other and unspecified languages,2766.00,541.00,819.00,310.00
..Finnish,1010.00,277.00,85.00,60.00
..Estonian,145.00,114.00,(D),(D)
..Caucasian,100.00,65.00,(B),--
..Syriac,385.00,166.00,110.00,60.00
..Aztecan,325.00,224.00,160.00,146.00
..Mayan languages,310.00,240.00,280.00,236.00
..Oto - Manguen,35.00,44.00,(D),(D)
..Quechua,125.00,133.00,70.00,67.00
..Arawakian,160.00,160.00,60.00,79.00
..Chibchan,20.00,33.00,20.00,33.00
..Tupi-Guarani,(D),(D),(D),(D)
..Uncodable,140.00,75.00,(D),(D)
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US48). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
