.Hmong,4887.00,864,1634.00,363
.Thai,1447.00,281,788.00,155
.Laotian,2137.00,433,1217.00,279
.Vietnamese,15130.00,"1,396",9449.00,998
.Other Asian languages,24465.00,"1,785",5844.00,807
..Kazakh,(D),(D),(D),(D)
..Kirghiz,(D),(D),(B),--
..Uighur,(D),(D),(B),--
..Azerbaijani,35.00,31,(B),--
..Turkish,1265.00,310,430.00,214
..Mongolian,90.00,91,55.00,50
..Dravidian,(D),(D),(B),--
..Gondi,80.00,88,(B),--
..Telugu,8695.00,916,1605.00,301
..Kannada,2425.00,523,255.00,119
..Malayalam,3900.00,616,1000.00,285
..Tamil,6440.00,892,1100.00,317
..Munda,(D),(D),(D),(D)
..Tibetan,(D),(D),(D),(D)
..Burmese,895.00,331,840.00,325
..Karen,525.00,375,505.00,372
..Kachin,(D),(D),(D),(D)
..Mien,(D),(D),(B),--
.Tagalog,16903.00,"1,093",4300.00,506
.Other Pacific Island languages,2593.00,339,816.00,222
..Indonesian,570.00,204,215.00,137
..Balinese,(D),(D),(B),--
..Malay,440.00,151,75.00,61
..Bisayan,485.00,275,200.00,165
..Sebuano,165.00,88,75.00,62
..Pangasinan,55.00,63,(D),(D)
..Ilocano,190.00,113,90.00,81
..Pampangan,25.00,26,(D),(D)
..Micronesian,70.00,69,30.00,35
..Chamorro,125.00,62,25.00,24
..Kusaiean,(D),(D),(B),--
..Mortlockese,(D),(D),(D),(D)
..Palau,30.00,42,(D),(D)
..Ponapean,(D),(D),(B),--
..Trukese,(D),(D),(B),--
..Melanesian,25.00,32,(B),--
..Polynesian,(D),(D),(D),(D)
..Samoan,200.00,103,(D),(D)
..Tongan,(D),(D),(B),--
..Hawaiian,115.00,88,(D),(D)
ALL OTHER LANGUAGES,161781.00,"3,968",65499.00,"2,198"
.Navajo,102.00,80,2.00,4
.Other Native North American languages,3454.00,417,408.00,92
..Inupik,(D),(D),(D),(D)
..Yupik,20.00,23,(B),--
..Algonquian,(D),(D),(D),(D)
..Menomini,(D),(D),(B),--
..Ojibwa,1910.00,282,205.00,73
..Ottawa,435.00,182,45.00,37
..Passamaquoddy,(D),(D),(B),--
..Potawatomi,160.00,69,15.00,17
..Okanogan,(D),(D),(B),--
..Apache,25.00,30,(D),(D)
..Dakota,(D),(D),(B),--
..Alabama,(D),(D),(D),(D)
..Choctaw,170.00,88,35.00,34
..Muskogee,(D),(D),(B),--
..Oneida,20.00,23,(B),--
..Seneca,70.00,96,(B),--
..Cherokee,175.00,76,15.00,16
..Pima,(D),(D),(B),--
..American Indian,370.00,165,55.00,25
.Hungarian,2510.00,358,589.00,151
.Arabic,111944.00,"3,223",46889.00,"1,930"
.Hebrew,2629.00,414,454.00,160
.African languages,13819.00,"1,561",4812.00,"1,021"
..Amharic,1125.00,330,505.00,186
..Berber,(D),(D),(D),(D)
..Chadic,(D),(D),(D),(D)
..Cushite,1320.00,451,625.00,281
..Sudanic,440.00,244,140.00,136
..Nilo-Hamitic,180.00,213,180.00,213
..Nubian,(D),(D),(B),--
..Swahili,1890.00,521,775.00,436
..Bantu,2470.00,709,870.00,477
..Mande,530.00,236,215.00,152
..Fulani,745.00,274,205.00,128
"..Kru, Ibo, Yoruba",4900.00,810,1180.00,354
..Efik,95.00,70,25.00,32
..African,90.00,73,70.00,68
.Other and unspecified languages,27323.00,"1,954",12345.00,"1,182"
..Finnish,2580.00,283,430.00,87
..Estonian,80.00,43,15.00,20
..Other Uralic languages,(D),(D),(B),--
..Caucasian,120.00,100,(D),(D)
..Syriac,24315.00,"1,939",11725.00,"1,179"
..Mayan languages,165.00,104,120.00,71
..Uncodable,60.00,45,(D),(D)
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US26). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
