..Ukrainian,21480.00,1356.00,10900.00,864.00
..Czech,3005.00,561.00,1015.00,328.00
..Slovak,3155.00,542.00,1065.00,275.00
..Bulgarian,5300.00,725.00,1650.00,323.00
..Macedonian,2755.00,682.00,930.00,270.00
..Slovene,330.00,109.00,140.00,88.00
.Armenian,6595.00,824.00,2214.00,367.00
.Persian,26545.00,1836.00,10666.00,1031.00
.Hindi,58591.00,2661.00,14864.00,1077.00
.Gujarati,20782.00,1653.00,6992.00,931.00
.Urdu,71425.00,3795.00,26915.00,1895.00
.Other Indic languages,155224.00,5786.00,74330.00,3382.00
..India n.e.c.3,4295.00,875.00,1415.00,475.00
..Bengali,96980.00,4113.00,48980.00,2611.00
..Panjabi,34410.00,2937.00,15100.00,1601.00
..Marathi,3480.00,558.00,575.00,216.00
..Bihari,(D),(D),(B),--
..Rajasthani,135.00,178.00,(B),--
..Oriya,410.00,189.00,85.00,82.00
..Assamese,50.00,58.00,(B),--
..Kashmiri,230.00,162.00,80.00,71.00
..Nepali,9015.00,1213.00,5750.00,956.00
..Sindhi,940.00,263.00,160.00,85.00
..Pakistan n.e.c.3,2320.00,744.00,1260.00,429.00
..Sinhalese,2890.00,662.00,925.00,252.00
..Romany,50.00,48.00,(D),(D)
.Other Indo-European languages,75300.00,3580.00,28991.00,1732.00
..Jamaican Creole,4210.00,723.00,1220.00,266.00
..Krio,470.00,228.00,150.00,116.00
..Pidgin,55.00,47.00,(D),(D)
..Gullah,(D),(D),(D),(D)
..Saramacca,(D),(D),(B),--
..Catalonian,360.00,140.00,80.00,54.00
..Romanian,15135.00,1108.00,5515.00,555.00
..Welsh,140.00,78.00,(D),(D)
..Irish Gaelic,3005.00,387.00,485.00,120.00
..Scottic Gaelic,60.00,51.00,(B),--
..Albanian,40995.00,2845.00,17010.00,1410.00
..Lithuanian,2465.00,354.00,835.00,237.00
..Latvian,1700.00,362.00,510.00,153.00
..Pashto,5025.00,1433.00,2290.00,735.00
..Kurdish,1130.00,549.00,445.00,223.00
..Balochi,(D),(D),(D),(D)
..Tadzhik,435.00,347.00,350.00,270.00
..Ossete,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,881475.00,7100.00,504881.00,6112.00
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",523389.00,5684.00,339351.00,5254.00
..Chinese,336870.00,6171.00,223870.00,5003.00
..Hakka,325.00,169.00,130.00,84.00
..Cantonese,95915.00,3289.00,58365.00,2456.00
..Mandarin,79395.00,3729.00,49705.00,2950.00
..Fuchow,475.00,212.00,360.00,161.00
..Formosan,9265.00,1224.00,6250.00,965.00
..Wu,1140.00,335.00,675.00,227.00
.Japanese,34294.00,1756.00,16575.00,1292.00
.Korean,109551.00,3909.00,62586.00,2596.00
".Mon-Khmer, Cambodian",4578.00,847.00,1989.00,424.00
.Hmong,191.00,115.00,56.00,65.00
.Thai,9395.00,1012.00,4943.00,629.00
.Laotian,3184.00,562.00,1622.00,310.00
.Vietnamese,22269.00,1612.00,12321.00,1034.00
.Other Asian languages,86879.00,3039.00,39153.00,2227.00
..Kazakh,270.00,213.00,215.00,160.00
..Kirghiz,55.00,85.00,55.00,85.00
..Karachay,210.00,109.00,90.00,74.00
..Uighur,3290.00,802.00,2610.00,669.00
..Azerbaijani,310.00,245.00,170.00,168.00
..Turkish,19145.00,1601.00,7855.00,845.00
..Mongolian,340.00,146.00,130.00,112.00
..Tungus,(D),(D),(B),--
..Dravidian,45.00,56.00,(D),(D)
..Gondi,135.00,136.00,(D),(D)
..Telugu,7880.00,777.00,1840.00,391.00
..Kannada,1690.00,343.00,315.00,149.00
..Malayalam,24340.00,1650.00,8570.00,820.00
..Tamil,8695.00,1039.00,1800.00,463.00
..Munda,320.00,220.00,(D),(D)
..Tibetan,7800.00,1243.00,5445.00,947.00
..Burmese,7145.00,1085.00,5035.00,852.00
..Karen,5165.00,947.00,4930.00,942.00
..Kachin,(D),(D),(D),(D)
..Mien,(D),(D),(D),(D)
.Tagalog,76524.00,2991.00,21350.00,1435.00
.Other Pacific Island languages,11221.00,1237.00,4935.00,710.00
..Indonesian,4205.00,835.00,2205.00,543.00
..Javanese,(D),(D),(B),--
..Malagasy,260.00,142.00,85.00,67.00
..Malay,2110.00,647.00,900.00,291.00
..Bisayan,1290.00,335.00,330.00,152.00
..Sebuano,1220.00,345.00,540.00,204.00
..Pangasinan,155.00,138.00,90.00,95.00
..Ilocano,520.00,199.00,165.00,72.00
..Pampangan,110.00,81.00,45.00,44.00
..Micronesian,(D),(D),(D),(D)
..Carolinian,(D),(D),(D),(D)
..Chamorro,160.00,112.00,(D),(D)
..Kusaiean,70.00,81.00,(D),(D)
..Marshallese,(D),(D),(D),(D)
..Palau,75.00,99.00,40.00,54.00
..Trukese,30.00,37.00,(B),--
..Melanesian,40.00,33.00,(D),(D)
..Polynesian,(D),(D),(D),(D)
..Samoan,140.00,91.00,50.00,52.00
..Tongan,140.00,129.00,60.00,85.00
..Fijian,115.00,99.00,(D),(D)
..Maori,(D),(D),(B),--
..Hawaiian,325.00,238.00,275.00,227.00
ALL OTHER LANGUAGES,272285.00,5595.00,86790.00,3015.00
.Navajo,219.00,142.00,(B),--
.Other Native North American languages,4456.00,586.00,950.00,223.00
..Aleut,90.00,99.00,(D),(D)
..Inupik,(D),(D),(B),--
..Yupik,(D),(D),(D),(D)
..Blackfoot,(D),(D),(B),--
..Cree,(D),(D),(B),--
..Delaware,(D),(D),(B),--
..Ojibwa,145.00,80.00,(D),(D)
..Ottawa,85.00,85.00,(D),(D)
..Potawatomi,(D),(D),(B),--
..Okanogan,(D),(D),(D),(D)
..Han,60.00,91.00,40.00,60.00
..Kuchin,290.00,159.00,115.00,83.00
..Tanana,(D),(D),(B),--
..Kiowa,(D),(D),(B),--
..Wintun,40.00,70.00,40.00,70.00
..Santiam,(D),(D),(B),--
..Mohave,(D),(D),(B),--
..Yuma,(D),(D),(B),--
..Hidatsa,(D),(D),(D),(D)
..Dakota,80.00,68.00,(B),--
..Choctaw,125.00,114.00,(B),--
..Muskogee,105.00,79.00,65.00,61.00
..Keres,70.00,68.00,65.00,67.00
..Mohawk,1630.00,399.00,170.00,82.00
..Oneida,80.00,84.00,(B),--
..Onondaga,25.00,43.00,(B),--
..Seneca,830.00,205.00,180.00,85.00
..Tuscarora,140.00,97.00,10.00,10.00
..Cherokee,60.00,67.00,(B),--
..Comanche,(D),(D),(B),--
..Paiute,(D),(D),(B),--
..Pima,(D),(D),(B),--
..Tiwa,85.00,91.00,(D),(D)
..Towa,40.00,57.00,(D),(D)
..American Indian,255.00,112.00,110.00,95.00
.Hungarian,12314.00,1055.00,4727.00,579.00
.Arabic,86213.00,3516.00,35523.00,2127.00
.Hebrew,66835.00,2700.00,13320.00,1116.00
.African languages,93485.00,3946.00,28808.00,1695.00
..Amharic,5160.00,932.00,1870.00,552.00
..Berber,75.00,52.00,(D),(D)
..Chadic,2770.00,698.00,825.00,269.00
..Cushite,3030.00,741.00,1440.00,475.00
..Sudanic,485.00,269.00,210.00,133.00
..Nilotic,355.00,241.00,(D),(D)
..Nilo-Hamitic,65.00,92.00,15.00,33.00
..Nilo-Saharan,(D),(D),(D),(D)
..Swahili,3905.00,733.00,1230.00,375.00
..Bantu,3065.00,633.00,925.00,272.00
..Mande,11015.00,1970.00,4355.00,712.00
..Fulani,8795.00,1247.00,4430.00,847.00
..Gur,215.00,140.00,(D),(D)
"..Kru, Ibo, Yoruba",51575.00,3010.00,12545.00,1206.00
..Efik,580.00,229.00,50.00,56.00
..Mbum (and related),(D),(D),(B),--
..African,2360.00,579.00,775.00,356.00
.Other and unspecified languages,8763.00,1115.00,3462.00,650.00
..Finnish,1680.00,351.00,225.00,115.00
..Estonian,810.00,197.00,195.00,107.00
..Caucasian,3345.00,733.00,1680.00,443.00
..Basque,(D),(D),(B),--
..Syriac,480.00,224.00,155.00,85.00
..Mayan languages,125.00,84.00,65.00,69.00
..Oto - Manguen,315.00,247.00,315.00,246.00
..Quechua,(D),(D),(D),(D)
..Arawakian,1590.00,525.00,640.00,253.00
..Chibchan,220.00,270.00,140.00,172.00
..Tupi-Guarani,50.00,51.00,(D),(D)
..Uncodable,110.00,64.00,(D),(D)
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US36). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
