..Marathi,875.00,343.00,120.00,89.00
..Assamese,45.00,52.00,(B),--
..Nepali,1185.00,466.00,930.00,420.00
..Sindhi,115.00,95.00,(D),(D)
..Pakistan n.e.c.3,255.00,322.00,(D),(D)
..Sinhalese,110.00,110.00,30.00,43.00
..Romany,(D),(D),(D),(D)
.Other Indo-European languages,5584.00,780.00,1955.00,374.00
..Jamaican Creole,180.00,95.00,(D),(D)
..Krio,(D),(D),(B),--
..Catalonian,(D),(D),(B),--
..Romanian,1555.00,481.00,570.00,207.00
..Welsh,(D),(D),(B),--
..Irish Gaelic,145.00,107.00,(B),--
..Scottic Gaelic,(D),(D),(D),(D)
..Albanian,335.00,218.00,205.00,164.00
..Lithuanian,90.00,107.00,(D),(D)
..Latvian,45.00,37.00,(B),--
..Pashto,105.00,99.00,(B),--
..Kurdish,3065.00,596.00,1135.00,272.00
ASIAN AND PACIFIC ISLAND LANGUAGES,59919.00,1857.00,27293.00,1310.00
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",13150.00,1424.00,6374.00,948.00
..Chinese,10770.00,1298.00,5360.00,906.00
..Cantonese,415.00,204.00,160.00,111.00
..Mandarin,1675.00,401.00,775.00,264.00
..Formosan,275.00,118.00,75.00,45.00
..Wu,(D),(D),(B),--
.Japanese,3845.00,566.00,1745.00,405.00
.Korean,8831.00,1207.00,4309.00,622.00
".Mon-Khmer, Cambodian",1364.00,504.00,582.00,215.00
.Hmong,208.00,99.00,64.00,43.00
.Thai,1445.00,365.00,635.00,188.00
.Laotian,5544.00,882.00,2502.00,458.00
.Vietnamese,10539.00,1304.00,6643.00,830.00
.Other Asian languages,7446.00,946.00,2282.00,483.00
..Uighur,130.00,187.00,130.00,187.00
..Azerbaijani,40.00,72.00,(D),(D)
..Turkish,640.00,338.00,240.00,168.00
..Mongolian,(D),(D),(B),--
..Gondi,25.00,38.00,(D),(D)
..Telugu,2560.00,569.00,475.00,188.00
..Kannada,555.00,239.00,65.00,50.00
..Malayalam,1355.00,391.00,320.00,178.00
..Tamil,1165.00,332.00,270.00,134.00
..Tibetan,70.00,70.00,(B),--
..Burmese,720.00,361.00,575.00,286.00
..Karen,165.00,209.00,165.00,209.00
.Tagalog,5921.00,910.00,1618.00,408.00
.Other Pacific Island languages,1626.00,371.00,539.00,225.00
..Indonesian,170.00,134.00,120.00,122.00
..Balinese,70.00,106.00,70.00,106.00
..Malay,240.00,103.00,110.00,66.00
..Bisayan,210.00,123.00,85.00,76.00
..Sebuano,145.00,81.00,50.00,52.00
..Ilocano,85.00,67.00,(D),(D)
..Pampangan,50.00,52.00,(D),(D)
..Micronesian,90.00,91.00,(B),--
..Chamorro,85.00,110.00,(D),(D)
..Palau,(D),(D),(D),(D)
..Trukese,105.00,125.00,(D),(D)
..Samoan,185.00,116.00,(D),(D)
..Tongan,(D),(D),(B),--
..Hawaiian,170.00,127.00,(B),--
ALL OTHER LANGUAGES,31579.00,2630.00,12570.00,1668.00
.Navajo,32.00,35.00,(B),--
.Other Native North American languages,804.00,211.00,69.00,44.00
..Blackfoot,35.00,64.00,(B),--
..Miami,(D),(D),(D),(D)
..Ojibwa,(D),(D),(B),--
..Shawnee,(D),(D),(B),--
..Apache,40.00,54.00,(B),--
..Walapai,(D),(D),(B),--
..Dakota,35.00,33.00,(D),(D)
..Choctaw,120.00,75.00,20.00,27.00
..Muskogee,20.00,28.00,(B),--
..Keres,(D),(D),(D),(D)
..Mohawk,15.00,21.00,(B),--
..Cayuga,(D),(D),(B),--
..Seneca,(D),(D),(B),--
..Cherokee,300.00,105.00,30.00,23.00
..American Indian,135.00,90.00,(D),(D)
.Hungarian,512.00,216.00,126.00,97.00
.Arabic,16535.00,2081.00,7270.00,1019.00
.Hebrew,1042.00,263.00,121.00,90.00
.African languages,12044.00,1618.00,4783.00,1151.00
..Amharic,3610.00,1011.00,1995.00,822.00
..Chadic,(D),(D),(B),--
..Cushite,2105.00,648.00,915.00,350.00
..Sudanic,140.00,160.00,35.00,52.00
..Nilotic,590.00,356.00,120.00,128.00
..Nilo-Hamitic,30.00,151.00,(D),(D)
..Swahili,1015.00,345.00,310.00,162.00
..Bantu,1075.00,445.00,480.00,330.00
..Mande,305.00,167.00,85.00,75.00
..Fulani,715.00,360.00,485.00,284.00
"..Kru, Ibo, Yoruba",2290.00,631.00,345.00,138.00
..Efik,(D),(D),(B),--
..African,110.00,124.00,(D),(D)
.Other and unspecified languages,610.00,274.00,201.00,136.00
..Finnish,115.00,76.00,(B),--
..Estonian,(D),(D),(B),--
..Caucasian,125.00,150.00,(D),(D)
..Syriac,50.00,83.00,40.00,80.00
..Aztecan,(D),(D),(D),(D)
..Mayan languages,120.00,133.00,70.00,73.00
..Oto - Manguen,(D),(D),(D),(D)
..Uncodable,125.00,67.00,(B),--
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US47). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
