Table with column headers in row 5 and row headers in column A,,,,
Table 37. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Oklahoma:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
..Sebuano,85,54,25,25
..Pangasinan,(D),(D),(D),(D)
..Ilocano,60,49,(D),(D)
..Micronesian,260,105,175,99
..Chamorro,360,213,40,36
..Marshallese,"1,095",323,420,203
..Palau,(D),(D),(D),(D)
..Ponapean,(D),(D),(D),(D)
..Trukese,225,101,130,81
..Yapese,35,61,(D),(D)
..Melanesian,(D),(D),(D),(D)
..Samoan,200,108,(D),(D)
..Tongan,35,36,(B),--
..Maori,(D),(D),(B),--
..Hawaiian,165,105,40,67
ALL OTHER LANGUAGES,"24,515","1,603","4,513",709
.Navajo,169,64,41,31
.Other Native North American languages,"14,469",877,"1,820",250
..Aleut,(D),(D),(B),--
..Algonquian,(D),(D),(B),--
..Arapaho,20,20,(D),(D)
..Cheyenne,290,120,20,19
..Delaware,50,37,(B),--
..Fox,80,59,(B),--
..Kickapoo,320,154,110,85
..Miami,(D),(D),(B),--
..Ojibwa,(D),(D),(D),(D)
..Potawatomi,85,61,(B),--
..Shawnee,65,40,(D),(D)
..Puget Sound Salish,50,60,(B),--
..Apache,80,95,(D),(D)
..Kiowa,590,178,25,24
..Yuchi,150,135,(B),--
..Crow,45,65,(B),--
..Mandan,(D),(D),(B),--
..Dakota,185,126,(D),(D)
..Chiwere,65,51,20,21
..Winnebago,(D),(D),(B),--
..Kansa,(D),(D),(B),--
..Omaha,15,20,(B),--
..Osage,385,150,(D),(D)
..Ponca,155,62,25,26
..Quapaw,(D),(D),(B),--
..Choctaw,"2,515",287,330,79
..Muskogee,"3,120",390,370,91
..Keres,50,52,(B),--
..Wyandot,(D),(D),(B),--
..Cherokee,"4,785",449,695,131
..Caddo,80,93,(B),--
..Pawnee,65,40,(D),(D)
..Wichita,(D),(D),(B),--
..Comanche,790,235,75,52
..Paiute,(D),(D),(B),--
..Ute,(D),(D),(B),--
..Shoshoni,(D),(D),(B),--
..Pima,(D),(D),(B),--
..American Indian,340,194,35,22
.Hungarian,176,86,46,30
.Arabic,"4,111",740,"1,341",449
.Hebrew,489,181,13,17
.African languages,"4,483",727,892,284
..Amharic,575,323,240,173
..Chadic,(D),(D),(D),(D)
..Sudanic,90,121,10,29
..Swahili,690,269,50,63
..Bantu,340,164,55,60
..Mande,80,87,(D),(D)
..Fulani,80,72,(B),--
"..Kru, Ibo, Yoruba","2,470",505,450,203
..Efik,90,69,(B),--
..African,50,51,35,44
.Other and unspecified languages,618,385,360,367
..Finnish,(D),(D),(B),--
..Estonian,40,36,(B),--
..Syriac,65,81,(D),(D)
..Mayan languages,55,54,55,54
..Oto - Manguen,(D),(D),(D),(D)
..Quechua,285,363,285,363
..Uncodable,140,66,(D),(D)
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US40). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
--  Either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
,,,,
