Table with column headers in row 5 and row headers in column A,,,,
Table 19. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Louisiana:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Japanese,2079.00,437.00,746.00,232.00
.Korean,3112.00,558.00,1371.00,303.00
".Mon-Khmer, Cambodian",334.00,141.00,191.00,92.00
.Hmong,67.00,87.00,9.00,14.00
.Thai,506.00,155.00,198.00,78.00
.Laotian,2002.00,401.00,1025.00,284.00
.Vietnamese,26185.00,1256.00,14586.00,1032.00
.Other Asian languages,2838.00,527.00,840.00,355.00
..Kazakh,(D),(D),(B),--
..Uighur,15.00,28.00,15.00,28.00
..Turkish,525.00,240.00,230.00,161.00
..Mongolian,(D),(D),(D),(D)
..Telugu,1200.00,375.00,145.00,151.00
..Kannada,180.00,125.00,(B),--
..Malayalam,215.00,102.00,70.00,56.00
..Tamil,315.00,137.00,(D),(D)
..Burmese,295.00,234.00,275.00,241.00
..Kachin,80.00,125.00,80.00,125.00
.Tagalog,4580.00,650.00,1373.00,304.00
.Other Pacific Island languages,1289.00,348.00,373.00,222.00
..Indonesian,465.00,218.00,220.00,181.00
..Malagasy,(D),(D),(B),--
..Malay,85.00,70.00,(D),(D)
..Bisayan,65.00,65.00,15.00,24.00
..Sebuano,75.00,68.00,(D),(D)
..Ilocano,55.00,46.00,(D),(D)
..Micronesian,(D),(D),(D),(D)
..Chamorro,145.00,101.00,(B),--
..Marshallese,40.00,31.00,(D),(D)
..Palau,(D),(D),(B),--
..Yapese,80.00,96.00,(D),(D)
..Samoan,190.00,150.00,(B),--
..Hawaiian,55.00,58.00,(D),(D)
ALL OTHER LANGUAGES,11321.00,1409.00,2828.00,538.00
.Navajo,45.00,53.00,(B),--
.Other Native North American languages,743.00,275.00,88.00,56.00
..Inupik,(D),(D),(B),--
..Passamaquoddy,35.00,40.00,(D),(D)
..Kuchin,(D),(D),(D),(D)
..Apache,(D),(D),(B),--
..Dakota,(D),(D),(B),--
..Omaha,(D),(D),(B),--
..Alabama,(D),(D),(B),--
..Choctaw,200.00,221.00,(B),--
..Koasati,125.00,73.00,(B),--
..Chetemacha,65.00,43.00,(D),(D)
..Iroquois,(D),(D),(B),--
..Cherokee,45.00,47.00,(D),(D)
..Yaqui,(D),(D),(B),--
..American Indian,110.00,66.00,45.00,39.00
.Hungarian,303.00,190.00,53.00,38.00
.Arabic,6739.00,1197.00,1860.00,451.00
.Hebrew,364.00,168.00,69.00,70.00
.African languages,2739.00,599.00,715.00,246.00
..Amharic,345.00,185.00,165.00,109.00
..Berber,35.00,44.00,(D),(D)
..Chadic,160.00,163.00,(D),(D)
..Cushite,200.00,192.00,105.00,92.00
..Nilotic,(D),(D),(B),--
..Swahili,365.00,167.00,90.00,83.00
..Bantu,265.00,124.00,140.00,101.00
..Mande,(D),(D),(D),(D)
..Fulani,60.00,79.00,40.00,55.00
"..Kru, Ibo, Yoruba",1195.00,419.00,65.00,55.00
..African,60.00,48.00,(D),(D)
.Other and unspecified languages,388.00,125.00,43.00,35.00
..Finnish,55.00,34.00,(D),(D)
..Estonian,(D),(D),(B),--
..Caucasian,30.00,34.00,(B),--
..Syriac,(D),(D),(B),--
..Mayan languages,(D),(D),(D),(D)
..Arawakian,(D),(D),(D),(D)
..Uncodable,250.00,121.00,(D),(D)
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US22). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
