Table with column headers in row 5 and row headers in column A,,,,
Table 2. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Alaska:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
..Albanian,135.00,118,(D),(D)
..Lithuanian,30.00,32,(B),--
..Latvian,50.00,50,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,35935.00,"1,286",17119.00,"1,194"
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",1634.00,435,907.00,324
..Chinese,1410.00,460,795.00,330
..Cantonese,80.00,70,(D),(D)
..Mandarin,135.00,93,80.00,78
..Formosan,(D),(D),(D),(D)
.Japanese,1752.00,558,677.00,334
.Korean,3937.00,686,2094.00,436
".Mon-Khmer, Cambodian",205.00,115,116.00,90
.Hmong,3107.00,885,1706.00,615
.Thai,1105.00,329,547.00,197
.Laotian,1469.00,499,685.00,235
.Vietnamese,1286.00,401,775.00,253
.Other Asian languages,721.00,341,257.00,137
..Kazakh,(D),(D),(D),(D)
..Azerbaijani,(D),(D),(B),--
..Turkish,125.00,144,75.00,71
..Mongolian,(D),(D),(B),--
..Dravidian,(D),(D),(B),--
..Telugu,60.00,61,(D),(D)
..Malayalam,30.00,25,25.00,24
..Tamil,35.00,44,(B),--
..Tibetan,(D),(D),(B),--
..Burmese,(D),(D),(B),--
..Mien,380.00,308,135.00,106
.Tagalog,14177.00,"1,157",7290.00,888
.Other Pacific Island languages,6542.00,743,2065.00,431
..Indonesian,65.00,65,20.00,23
..Malay,55.00,66,(D),(D)
..Bisayan,390.00,150,220.00,103
..Sebuano,50.00,50,30.00,40
..Ilocano,980.00,413,535.00,247
..Bikol,4.00,12,4.00,12
..Pampangan,215.00,147,110.00,84
..Micronesian,60.00,68,(D),(D)
..Carolinian,(D),(D),(B),--
..Chamorro,180.00,147,(B),--
..Kusaiean,(D),(D),(D),(D)
..Marshallese,10.00,13,(B),--
..Palau,135.00,104,(D),(D)
..Trukese,75.00,67,50.00,60
..Polynesian,(D),(D),(B),--
..Samoan,3555.00,540,870.00,277
..Tongan,380.00,200,115.00,72
..Hawaiian,235.00,147,(B),--
ALL OTHER LANGUAGES,34271.00,"1,052",9022.00,481
.Navajo,133.00,99,16.00,28
.Other Native North American languages,31735.00,971,8087.00,459
..Aleut,620.00,131,75.00,39
..Pacific Gulf Yupik,70.00,51,(B),--
..Eskimo,1160.00,238,265.00,77
..Inupik,6255.00,372,1185.00,139
..St. Lawrence Island Yupik,1030.00,113,285.00,54
..Yupik,19360.00,881,5865.00,419
..Blackfoot,(D),(D),(B),--
..Salish,(D),(D),(B),--
..Haida,110.00,56,(B),--
..Athapascan,1175.00,175,155.00,37
..Ahtena,20.00,16,(B),--
..Han,(D),(D),(B),--
..Ingalit,4.00,6,(D),(D)
..Koyukon,65.00,43,(D),(D)
..Kuchin,450.00,183,90.00,39
..Upper Kuskokwim,(D),(D),(B),--
..Tanaina,60.00,38,(D),(D)
..Upper Tanana,(D),(D),(B),--
..Apache,(D),(D),(B),--
..Tlingit,1035.00,211,115.00,48
..Foothill North Yokuts,(D),(D),(B),--
..Nez Perce,(D),(D),(B),--
..Sahaptian,(D),(D),(B),--
..Tsimshian,40.00,26,15.00,21
..Yuma,15.00,11,(D),(D)
..Crow,(D),(D),(B),--
..Dakota,25.00,15,(B),--
..Choctaw,(D),(D),(D),(D)
..Keres,(D),(D),(B),--
..Cherokee,50.00,53,(B),--
..Cupeno,(D),(D),(D),(D)
..Pima,(D),(D),(B),--
..Tewa,(D),(D),(B),--
..American Indian,(D),(D),(B),--
..Chiricahua,(D),(D),(B),--
.Hungarian,90.00,77,21.00,30
.Arabic,388.00,205,61.00,50
.Hebrew,241.00,136,55.00,61
.African languages,1415.00,388,743.00,211
..Amharic,180.00,101,140.00,109
..Cushite,370.00,102,290.00,86
..Sudanic,30.00,27,20.00,25
..Nilotic,155.00,149,105.00,131
..Swahili,85.00,86,(D),(D)
..Bantu,(D),(D),(B),--
..Mande,(D),(D),(B),--
..Fulani,310.00,308,90.00,119
"..Kru, Ibo, Yoruba",260.00,158,(D),(D)
..African,(D),(D),(B),--
.Other and unspecified languages,269.00,103,39.00,41
..Finnish,170.00,82,30.00,39
..Basque,(D),(D),(B),--
..Mayan languages,15.00,12,(B),--
..Uncodable,75.00,59,(D),(D)
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US02). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
