Table with column headers in row 5 and row headers in column A,,,,
Table 45. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Utah:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Arabic,2493.00,763.00,945.00,508.00
.Hebrew,241.00,149.00,8.00,13.00
.African languages,3735.00,669.00,1386.00,376.00
..Amharic,240.00,152.00,70.00,63.00
..Chadic,135.00,192.00,(D),(D)
..Cushite,1320.00,415.00,575.00,246.00
..Sudanic,(D),(D),(D),(D)
..Nilotic,100.00,97.00,45.00,52.00
..Nilo-Hamitic,(D),(D),(D),(D)
..Nilo-Saharan,85.00,99.00,(D),(D)
..Swahili,350.00,259.00,190.00,242.00
..Bantu,375.00,172.00,115.00,109.00
..Mande,65.00,64.00,45.00,59.00
"..Kru, Ibo, Yoruba",895.00,395.00,205.00,122.00
..Efik,65.00,64.00,40.00,59.00
..African,(D),(D),(B),--
.Other and unspecified languages,903.00,230.00,248.00,140.00
..Finnish,465.00,150.00,55.00,47.00
..Caucasian,(D),(D),(B),--
..Basque,(D),(D),(B),--
..Mayan languages,(D),(D),(D),(D)
..Oto - Manguen,115.00,130.00,95.00,120.00
..Quechua,115.00,118.00,(D),(D)
..Tupi-Guarani,(D),(D),(D),(D)
..Uncodable,160.00,86.00,50.00,58.00
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US49). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
