..Pidgin,(D),(D),(B),--
..Romanian,270,190,95,64
..Irish Gaelic,(D),(D),(B),--
..Albanian,60,61,40,50
..Lithuanian,(D),(D),(B),--
..Latvian,40,47,(D),(D)
..Pashto,70,85,60,82
..Kurdish,65,73,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,"46,074","1,386","23,498",988
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)","10,714",968,"5,993",655
..Chinese,"8,665",881,"5,020",623
..Hakka,75,80,75,80
..Cantonese,560,268,340,224
..Mandarin,"1,175",276,480,157
..Formosan,240,110,80,59
.Japanese,"1,918",337,827,203
.Korean,"3,556",630,"2,259",493
".Mon-Khmer, Cambodian",655,228,289,124
.Hmong,"1,474",303,661,216
.Thai,663,185,383,142
.Laotian,"3,672",696,"1,659",405
.Vietnamese,"12,557","1,040","7,663",669
.Other Asian languages,"5,738",772,"2,102",531
..Kazakh,35,35,(D),(D)
..Uighur,(D),(D),(D),(D)
..Turkish,520,252,200,133
..Telugu,"2,135",497,485,230
..Kannada,190,111,30,44
..Malayalam,570,202,125,77
..Tamil,"1,080",326,145,78
..Burushaski,(D),(D),(B),--
..Tibetan,15,18,(D),(D)
..Burmese,905,372,830,363
..Karen,245,247,245,247
.Tagalog,"3,786",486,"1,230",294
.Other Pacific Island languages,"1,341",326,432,166
..Indonesian,375,133,95,60
..Malay,120,94,45,44
..Bisayan,200,112,130,87
..Sebuano,55,33,25,23
..Ilocano,50,70,45,68
..Micronesian,(D),(D),(B),--
..Chamorro,35,30,(D),(D)
..Kusaiean,(D),(D),(D),(D)
..Palau,65,97,40,67
..Ponapean,205,152,(D),(D)
..Melanesian,20,26,(B),--
..Samoan,100,58,(D),(D)
..Tongan,(D),(D),(B),--
..Hawaiian,95,84,(B),--
ALL OTHER LANGUAGES,"13,654","1,405","3,970",621
.Navajo,641,217,69,61
.Other Native North American languages,"1,093",211,76,55
..Yupik,(D),(D),(B),--
..Cheyenne,(D),(D),(B),--
..Cree,(D),(D),(B),--
..Kickapoo,40,30,(B),--
..Menomini,40,27,(D),(D)
..Miami,(D),(D),(B),--
..Potawatomi,240,122,(D),(D)
..Apache,25,29,(B),--
..Sahaptian,(D),(D),(B),--
..Yuma,(D),(D),(D),(D)
..Dakota,165,105,(D),(D)
..Chiwere,15,10,(D),(D)
..Omaha,(D),(D),(B),--
..Osage,20,25,(B),--
..Ponca,25,26,(B),--
..Choctaw,35,34,(B),--
..Muskogee,25,27,(B),--
..Keres,(D),(D),(B),--
..Cherokee,235,107,(D),(D)
..Comanche,(D),(D),(D),(D)
..American Indian,80,58,(B),--
.Hungarian,172,88,64,42
.Arabic,"4,607",999,"1,599",435
.Hebrew,439,201,50,47
.African languages,"6,379",902,"1,934",439
..Amharic,820,324,395,189
..Berber,340,358,170,199
..Chadic,(D),(D),(D),(D)
..Cushite,940,316,515,194
..Nilotic,50,68,25,35
..Swahili,"2,815",616,525,207
..Bantu,380,213,75,91
..Mande,95,80,55,58
..Fulani,225,147,65,64
"..Kru, Ibo, Yoruba",615,266,30,42
..African,90,96,(D),(D)
.Other and unspecified languages,323,171,178,153
..Finnish,35,36,(D),(D)
..Estonian,(D),(D),(B),--
..Caucasian,(D),(D),(B),--
..Syriac,(D),(D),(B),--
..Mayan languages,165,153,165,153
..Uncodable,90,60,(B),--
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US20). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
--  Either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
,,,,
