..Nepali,2130.00,688.00,1640.00,589.00
..Sindhi,85.00,83.00,(D),(D)
..Pakistan n.e.c.3,120.00,102.00,95.00,98.00
..Sinhalese,775.00,364.00,135.00,129.00
..Romany,165.00,121.00,50.00,47.00
.Other Indo-European languages,13572.00,1433.00,5480.00,819.00
..Jamaican Creole,320.00,184.00,(D),(D)
..Krio,450.00,247.00,100.00,115.00
..Pidgin,125.00,85.00,60.00,61.00
..Romanian,6335.00,990.00,3055.00,566.00
..Welsh,140.00,75.00,35.00,35.00
..Irish Gaelic,850.00,255.00,105.00,57.00
..Scottic Gaelic,35.00,37.00,(B),--
..Albanian,3280.00,814.00,1600.00,484.00
..Lithuanian,1085.00,244.00,240.00,123.00
..Latvian,670.00,178.00,80.00,50.00
..Pashto,145.00,108.00,65.00,87.00
..Kurdish,145.00,134.00,70.00,67.00
ASIAN AND PACIFIC ISLAND LANGUAGES,120312.00,2276.00,51891.00,1675.00
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",41089.00,1640.00,20374.00,1110.00
..Chinese,33190.00,1682.00,17035.00,1051.00
..Hakka,95.00,127.00,95.00,127.00
..Cantonese,1845.00,396.00,700.00,232.00
..Mandarin,4935.00,622.00,2065.00,394.00
..Fuchow,(D),(D),(B),--
..Formosan,985.00,332.00,480.00,187.00
..Wu,(D),(D),(B),--
.Japanese,9510.00,915.00,4619.00,580.00
.Korean,12560.00,1045.00,6007.00,634.00
".Mon-Khmer, Cambodian",3992.00,747.00,1988.00,468.00
.Hmong,543.00,306.00,164.00,108.00
.Thai,2590.00,492.00,1261.00,298.00
.Laotian,3287.00,659.00,1353.00,347.00
.Vietnamese,11619.00,1012.00,6609.00,735.00
.Other Asian languages,21798.00,1546.00,5556.00,679.00
..Karachay,(D),(D),(B),--
..Uighur,170.00,111.00,135.00,89.00
..Azerbaijani,(D),(D),(B),--
..Turkish,2810.00,549.00,1030.00,234.00
..Mongolian,75.00,71.00,35.00,46.00
..Dravidian,(D),(D),(B),--
..Telugu,7490.00,1019.00,1585.00,395.00
..Kannada,1460.00,404.00,200.00,118.00
..Malayalam,2220.00,503.00,475.00,200.00
..Tamil,6210.00,900.00,1115.00,356.00
..Munda,(D),(D),(B),--
..Tibetan,165.00,196.00,165.00,196.00
..Burmese,615.00,250.00,415.00,180.00
..Karen,430.00,295.00,390.00,263.00
..Kachin,(D),(D),(D),(D)
..Mien,(D),(D),(B),--
.Tagalog,10897.00,946.00,2958.00,372.00
.Other Pacific Island languages,2427.00,484.00,1002.00,235.00
..Indonesian,715.00,302.00,235.00,106.00
..Balinese,70.00,113.00,(B),--
..Malagasy,45.00,41.00,45.00,41.00
..Malay,315.00,131.00,205.00,106.00
..Bisayan,270.00,146.00,140.00,108.00
..Sebuano,360.00,198.00,160.00,101.00
..Ilocano,40.00,46.00,(D),(D)
..Chamorro,120.00,69.00,60.00,58.00
..Marshallese,145.00,98.00,85.00,60.00
..Ponapean,(D),(D),(B),--
..Yapese,(D),(D),(D),(D)
..Melanesian,55.00,52.00,(B),--
..Polynesian,(D),(D),(D),(D)
..Samoan,115.00,84.00,(D),(D)
..Fijian,(D),(D),(B),--
..Hawaiian,90.00,75.00,(B),--
ALL OTHER LANGUAGES,82970.00,3461.00,27085.00,1694.00
.Navajo,59.00,79.00,(B),--
.Other Native North American languages,1069.00,272.00,161.00,97.00
..Aleut,(D),(D),(B),--
..Yupik,(D),(D),(B),--
..Algonquian,(D),(D),(B),--
..Blackfoot,25.00,30.00,(B),--
..Delaware,(D),(D),(B),--
..Ojibwa,(D),(D),(B),--
..Shawnee,25.00,27.00,(B),--
..Quinault,(D),(D),(B),--
..Kuchin,90.00,75.00,35.00,40.00
..Apache,30.00,32.00,(B),--
..Nez Perce,(D),(D),(D),(D)
..Pomo,105.00,155.00,(D),(D)
..Yuma,(D),(D),(B),--
..Crow,(D),(D),(B),--
..Dakota,75.00,41.00,(B),--
..Choctaw,125.00,81.00,(B),--
..Koasati,(D),(D),(B),--
..Muskogee,(D),(D),(B),--
..Keres,(D),(D),(B),--
..Iroquois,30.00,37.00,(B),--
..Mohawk,(D),(D),(D),(D)
..Cherokee,250.00,117.00,25.00,20.00
..Hopi,(D),(D),(B),--
..Tiwa,(D),(D),(B),--
..American Indian,80.00,48.00,45.00,45.00
.Hungarian,7144.00,637.00,1794.00,250.00
.Arabic,34277.00,2528.00,11134.00,1143.00
.Hebrew,2838.00,479.00,351.00,152.00
.African languages,35960.00,2132.00,13126.00,1103.00
..Amharic,4675.00,802.00,1735.00,330.00
..Berber,55.00,51.00,(D),(D)
..Chadic,90.00,87.00,(B),--
..Cushite,13160.00,1409.00,5820.00,801.00
..Sudanic,(D),(D),(D),(D)
..Nilotic,(D),(D),(B),--
..Swahili,2725.00,678.00,875.00,390.00
..Bantu,2255.00,661.00,760.00,387.00
..Mande,1330.00,486.00,500.00,217.00
..Fulani,2595.00,608.00,1230.00,396.00
..Gur,40.00,43.00,(D),(D)
"..Kru, Ibo, Yoruba",8640.00,1027.00,2060.00,406.00
..Efik,110.00,92.00,(D),(D)
..Mbum (and related),(D),(D),(D),(D)
..African,185.00,117.00,60.00,47.00
.Other and unspecified languages,1623.00,409.00,519.00,225.00
..Finnish,670.00,259.00,90.00,68.00
..Estonian,335.00,187.00,105.00,78.00
..Lapp,(D),(D),(B),--
..Caucasian,240.00,192.00,155.00,144.00
..Syriac,80.00,94.00,(D),(D)
..Mayan languages,(D),(D),(D),(D)
..Oto - Manguen,(D),(D),(D),(D)
..Quechua,(D),(D),(B),--
..Chibchan,105.00,164.00,95.00,143.00
..Uncodable,105.00,59.00,(B),--
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US39). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
