..Kashmiri,(D),(D),(B),--
..Nepali,1290.00,411,685.00,297
..Sindhi,(D),(D),(D),(D)
..Pakistan n.e.c.3,200.00,178,(D),(D)
..Sinhalese,155.00,108,65.00,74
.Other Indo-European languages,4712.00,919,1861.00,443
..Jamaican Creole,25.00,29,(D),(D)
..Krio,(D),(D),(D),(D)
..Pidgin,40.00,30,(D),(D)
..Romanian,1645.00,465,450.00,213
..Irish Gaelic,130.00,79,20.00,25
..Scottic Gaelic,(D),(D),(B),--
..Albanian,1630.00,690,840.00,370
..Lithuanian,185.00,113,80.00,70
..Latvian,165.00,117,55.00,44
..Pashto,385.00,280,155.00,121
..Kurdish,470.00,240,230.00,132
ASIAN AND PACIFIC ISLAND LANGUAGES,66504.00,"1,980",31713.00,"1,282"
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",18808.00,"1,241",10405.00,894
..Chinese,14755.00,"1,073",8380.00,830
..Hakka,(D),(D),(B),--
..Cantonese,890.00,317,510.00,223
..Mandarin,2620.00,461,1155.00,291
..Fuchow,(D),(D),(D),(D)
..Formosan,520.00,196,340.00,170
..Wu,10.00,12,10.00,12
.Japanese,2818.00,410,1048.00,225
.Korean,6918.00,703,3827.00,623
".Mon-Khmer, Cambodian",1095.00,455,668.00,278
.Hmong,949.00,226,468.00,172
.Thai,1512.00,385,651.00,204
.Laotian,1058.00,403,592.00,283
.Vietnamese,12185.00,"1,025",7743.00,670
.Other Asian languages,10007.00,"1,296",2840.00,651
..Uighur,365.00,277,275.00,221
..Azerbaijani,(D),(D),(D),(D)
..Turkish,1945.00,884,750.00,404
..Mongolian,(D),(D),(D),(D)
..Tungus,(D),(D),(D),(D)
..Dravidian,80.00,75,(B),--
..Gondi,45.00,74,(D),(D)
..Telugu,3610.00,625,490.00,188
..Kannada,395.00,176,55.00,70
..Malayalam,795.00,284,150.00,77
..Tamil,2305.00,689,705.00,350
..Munda,(D),(D),(D),(D)
..Burmese,260.00,150,240.00,146
..Karen,170.00,169,130.00,121
.Tagalog,7256.00,806,2151.00,315
.Other Pacific Island languages,3898.00,545,1320.00,351
..Indonesian,380.00,166,140.00,96
..Malay,130.00,82,30.00,38
..Bisayan,290.00,135,105.00,81
..Sebuano,40.00,34,(D),(D)
..Ilocano,50.00,53,(D),(D)
..Bikol,15.00,25,(D),(D)
..Pampangan,(D),(D),(D),(D)
..Micronesian,740.00,241,325.00,168
..Chamorro,200.00,110,20.00,23
..Kusaiean,70.00,69,(D),(D)
..Marshallese,200.00,253,(D),(D)
..Mokilese,(D),(D),(D),(D)
..Palau,60.00,62,(D),(D)
..Ponapean,615.00,225,320.00,245
..Trukese,100.00,199,(D),(D)
..Melanesian,25.00,28,(B),--
..Samoan,535.00,211,125.00,85
..Tongan,60.00,59,(D),(D)
..Fijian,195.00,148,(D),(D)
..Hawaiian,105.00,67,35.00,34
ALL OTHER LANGUAGES,25700.00,"1,765",8802.00,"1,013"
.Navajo,65.00,65,9.00,12
.Other Native North American languages,1219.00,297,50.00,37
..Inupik,(D),(D),(B),--
..Arapaho,35.00,44,(B),--
..Cheyenne,(D),(D),(B),--
..Kickapoo,15.00,16,(B),--
..Ojibwa,40.00,42,(B),--
..Ottawa,(D),(D),(B),--
..Foothill North Yokuts,20.00,29,(B),--
..Dakota,55.00,47,(B),--
..Winnebago,70.00,76,(B),--
..Ponca,(D),(D),(B),--
..Choctaw,30.00,39,(B),--
..Muskogee,70.00,59,(B),--
..Seneca,(D),(D),(B),--
..Cherokee,630.00,210,30.00,31
..Tiwa,(D),(D),(B),--
..American Indian,120.00,83,(D),(D)
.Hungarian,874.00,257,266.00,146
.Arabic,9909.00,"1,034",4421.00,727
.Hebrew,1203.00,282,110.00,77
.African languages,11775.00,"1,173",3883.00,622
..Amharic,2150.00,529,915.00,306
..Chadic,30.00,28,(B),--
..Cushite,1950.00,590,1000.00,293
..Sudanic,875.00,467,545.00,381
..Nilotic,85.00,70,(B),--
..Nilo-Hamitic,(D),(D),(D),(D)
..Swahili,2220.00,448,445.00,188
..Bantu,850.00,284,300.00,169
..Mande,80.00,69,(B),--
..Fulani,215.00,130,125.00,88
..Gur,(D),(D),(D),(D)
"..Kru, Ibo, Yoruba",3050.00,669,440.00,143
..Efik,90.00,67,(D),(D)
..African,120.00,91,25.00,29
.Other and unspecified languages,655.00,204,63.00,53
..Finnish,330.00,214,(B),--
..Caucasian,(D),(D),(D),(D)
..Basque,30.00,34,(D),(D)
..Syriac,35.00,32,(D),(D)
..Mayan languages,(D),(D),(B),--
..Chibchan,40.00,65,(D),(D)
..Uncodable,185.00,83,(B),--
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US29). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
