ASIAN AND PACIFIC ISLAND LANGUAGES,63250.00,"1,990",32606.00,"1,535"
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",23119.00,"1,520",13417.00,"1,186"
..Chinese,18560.00,"1,437",11320.00,"1,179"
..Cantonese,1035.00,296,500.00,192
..Mandarin,3020.00,459,1390.00,247
..Fuchow,(D),(D),(B),--
..Formosan,460.00,190,195.00,108
..Wu,40.00,45,(D),(D)
.Japanese,5857.00,885,2605.00,622
.Korean,7588.00,898,3814.00,578
".Mon-Khmer, Cambodian",1060.00,424,478.00,235
.Hmong,237.00,214,171.00,211
.Thai,975.00,258,364.00,136
.Laotian,670.00,290,337.00,161
.Vietnamese,4951.00,702,3103.00,522
.Other Asian languages,11524.00,"1,121",6055.00,852
..Kazakh,(D),(D),(B),--
..Uighur,165.00,163,80.00,72
..Azerbaijani,60.00,76,(B),--
..Turkish,655.00,231,285.00,197
..Turkmen,(D),(D),(D),(D)
..Mongolian,65.00,72,20.00,24
..Dravidian,(D),(D),(B),--
..Gondi,(D),(D),(B),--
..Telugu,2130.00,515,490.00,202
..Kannada,495.00,226,(D),(D)
..Malayalam,520.00,260,70.00,72
..Tamil,1780.00,465,205.00,105
..Tibetan,60.00,64,(D),(D)
..Burmese,5035.00,778,4320.00,741
..Karen,460.00,345,460.00,345
..Kachin,(D),(D),(D),(D)
.Tagalog,5667.00,672,1755.00,321
.Other Pacific Island languages,1602.00,317,507.00,158
..Indonesian,565.00,200,240.00,116
..Malay,205.00,151,50.00,58
..Bisayan,370.00,138,105.00,70
..Sebuano,180.00,104,60.00,49
..Ilocano,40.00,48,(B),--
..Pampangan,(D),(D),(D),(D)
..Chamorro,65.00,70,(B),--
..Marshallese,35.00,44,(D),(D)
..Melanesian,(D),(D),(B),--
..Samoan,55.00,39,(D),(D)
..Fijian,10.00,15,(B),--
..Maori,(D),(D),(B),--
..Hawaiian,30.00,29,(D),(D)
ALL OTHER LANGUAGES,21788.00,"1,672",6137.00,873
.Navajo,133.00,82,25.00,30
.Other Native North American languages,731.00,201,94.00,79
..Algonquian,(D),(D),(B),--
..Blackfoot,(D),(D),(B),--
..Cheyenne,40.00,51,(B),--
..French Cree,(D),(D),(D),(D)
..Miami,35.00,48,(B),--
..Potawatomi,30.00,51,(B),--
..Shawnee,25.00,31,(B),--
..Coeur d'Alene,(D),(D),(B),--
..Quinault,(D),(D),(B),--
..Apache,50.00,48,(B),--
..Dakota,160.00,91,(B),--
..Winnebago,(D),(D),(B),--
..Choctaw,175.00,125,(D),(D)
..Cherokee,70.00,45,(D),(D)
..Comanche,(D),(D),(B),--
..Pima,(D),(D),(B),--
..Tewa,(D),(D),(D),(D)
..American Indian,20.00,21,(B),--
.Hungarian,995.00,231,162.00,73
.Arabic,9017.00,"1,037",3513.00,647
.Hebrew,1231.00,373,244.00,205
.African languages,9246.00,"1,423",2004.00,562
..Amharic,1805.00,669,550.00,203
..Chadic,35.00,32,(D),(D)
..Cushite,285.00,213,120.00,95
..Nilo-Hamitic,(D),(D),(B),--
..Swahili,1510.00,441,140.00,100
..Bantu,960.00,340,100.00,93
..Mande,130.00,103,80.00,65
..Fulani,215.00,195,35.00,50
..Gur,(D),(D),(B),--
"..Kru, Ibo, Yoruba",3970.00,967,920.00,481
..Efik,(D),(D),(B),--
..African,310.00,231,40.00,41
.Other and unspecified languages,435.00,136,95.00,69
..Finnish,125.00,72,(B),--
..Estonian,60.00,40,(B),--
..Caucasian,15.00,13,(D),(D)
..Syriac,20.00,21,(D),(D)
..Mayan languages,70.00,98,(D),(D)
..Oto - Manguen,(D),(D),(D),(D)
..Arawakian,30.00,34,30.00,34
..Uncodable,90.00,47,(D),(D)
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US18). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
