..Indonesian,1390.00,397,635.00,205
..Javanese,(D),(D),(B),--
..Malay,255.00,152,80.00,90
..Sundanese,(D),(D),(D),(D)
..Bisayan,140.00,92,60.00,73
..Sebuano,150.00,136,55.00,58
..Ilocano,225.00,137,100.00,85
..Pampangan,140.00,104,95.00,98
..Micronesian,15.00,20,(D),(D)
..Chamorro,360.00,143,90.00,86
..Marshallese,50.00,142,30.00,91
..Palau,110.00,84,55.00,59
..Trukese,115.00,122,45.00,82
..Yapese,(D),(D),(D),(D)
..Polynesian,(D),(D),(B),--
..Samoan,365.00,181,45.00,59
..Tongan,215.00,130,55.00,45
..Maori,(D),(D),(D),(D)
..Hawaiian,365.00,150,95.00,73
ALL OTHER LANGUAGES,36201.00,"2,388",13858.00,"1,216"
.Navajo,2937.00,525,319.00,151
.Other Native North American languages,2244.00,341,413.00,172
..Eskimo,40.00,42,(B),--
..Inupik,10.00,8,(B),--
..Yupik,80.00,59,(B),--
..Algonquian,(D),(D),(B),--
..Arapaho,(D),(D),(B),--
..Blackfoot,(D),(D),(B),--
..Cheyenne,65.00,63,65.00,62
..Cree,180.00,127,95.00,102
..Delaware,(D),(D),(B),--
..Fox,(D),(D),(B),--
..Menomini,90.00,94,(D),(D)
..Ojibwa,40.00,55,(B),--
..Apache,120.00,78,55.00,61
..Tlingit,(D),(D),(B),--
..Foothill North Yokuts,(D),(D),(D),(D)
..Dakota,360.00,162,70.00,52
..Omaha,(D),(D),(B),--
..Choctaw,(D),(D),(D),(D)
..Cherokee,100.00,63,(B),--
..Ute,725.00,174,75.00,36
..Tewa,40.00,45,(B),--
..Towa,35.00,39,(B),--
..Zuni,(D),(D),(B),--
..American Indian,95.00,59,(D),(D)
..San Carlos,(D),(D),(B),--
.Hungarian,1322.00,280,302.00,147
.Arabic,9692.00,"1,208",4116.00,758
.Hebrew,1650.00,428,216.00,111
.African languages,17500.00,"1,597",8148.00,995
..Amharic,8735.00,"1,135",4200.00,701
..Berber,70.00,47,60.00,45
..Chadic,35.00,41,(B),--
..Cushite,2685.00,561,1610.00,393
..Sudanic,125.00,172,75.00,112
..Nilotic,95.00,120,70.00,114
..Swahili,815.00,299,340.00,213
..Bantu,650.00,280,335.00,220
..Mande,290.00,140,170.00,97
..Fulani,185.00,125,45.00,38
"..Kru, Ibo, Yoruba",3715.00,812,1220.00,352
..African,105.00,76,(D),(D)
.Other and unspecified languages,856.00,271,344.00,164
..Finnish,265.00,99,100.00,63
..Estonian,60.00,51,(D),(D)
..Basque,45.00,40,(D),(D)
..Syriac,(D),(D),(B),--
..Sonoran,60.00,68,60.00,68
..Mayan languages,195.00,174,155.00,130
..Oto - Manguen,(D),(D),(B),--
..Tupi-Guarani,(D),(D),(B),--
..Uncodable,190.00,155,(B),--
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US08). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
