.Hebrew,20002.00,"1,726",4099.00,668
.African languages,14092.00,"1,497",3270.00,578
..Amharic,2180.00,556,695.00,245
..Berber,95.00,101,(B),--
..Chadic,215.00,146,25.00,35
..Cushite,150.00,124,(D),(D)
..Sudanic,65.00,68,60.00,67
..Nilotic,60.00,75,45.00,53
..Nubian,(D),(D),(D),(D)
..Swahili,1895.00,508,480.00,241
..Bantu,1050.00,330,450.00,235
..Mande,115.00,112,35.00,32
..Fulani,535.00,383,(D),(D)
"..Kru, Ibo, Yoruba",7055.00,"1,100",1160.00,378
..Efik,275.00,164,(D),(D)
..African,345.00,167,140.00,110
.Other and unspecified languages,4876.00,823,1968.00,444
..Finnish,2425.00,447,875.00,248
..Estonian,805.00,395,295.00,148
..Caucasian,80.00,68,(D),(D)
..Basque,40.00,74,(D),(D)
..Syriac,105.00,55,40.00,37
..Aztecan,(D),(D),(D),(D)
..Misumalpan,55.00,69,(B),--
..Mayan languages,865.00,465,605.00,293
..Oto - Manguen,20.00,27,20.00,27
..Quechua,50.00,91,50.00,91
..Arawakian,70.00,64,(B),--
..Tupi-Guarani,(D),(D),(D),(D)
..Uncodable,325.00,170,(B),--
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US12). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
